Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0101	Ugep	C400579-A	Va Ni	{+0}	(F46+2)	[2559]	B	-	-	707	8	Im	w D
0104	Buratti	A100888-D	Va Ph Na Pi	{+2}	(C78+1)	[9A6F]	eDB	-	-	304	7	Im	M0 V
0105	Helmut	C300144-7	Va Lo	{-2}	(901+1)	[1196]	B	-	-	304	8	Im	K5 V
0106	Thiltor	E200261-8	Va Lo	{-3}	(D11-1)	[1168]	B	-	-	405	7	Im	M5 V
0107	Bridgeport	B410964-C	Hi Na In	{+4}	(D87+0)	[6D6C]	fEB	-	-	614	9	Im	F5 V
0109	Druyan	A300DBF-F	Va Hi Na In	{+4}	(5CD+4)	[BF3F]	fEB	-	A	901	3	Im	M5 V M5 V
0111	Timandra	A1008DD-C	Va Ph Na Pi	{+2}	(D78-2)	[3A3D]	eDB	-	A	803	6	Im	M0 V M5 V
0112	Medicine Hat	A4109A9-E	Hi Na In	{+4}	(988+0)	[9D2F]	fEB	-	-	203	9	Im	F5 V
0114	Massalia	E78538A-3	Ga Lo	{-3}	(821+4)	[2147]	B	-	-	900	3	Im	G5 V M5 V
0122	Kanie	E000243-5	As Va Lo	{-3}	(C11+4)	[1173]	B	-	-	725	7	Im	M0 V
0127	Ianthe	B6A6884-7	Fl Ph	{+0}	(979+2)	[688A]	eB	N	-	204	8	Im	M0 V
0130	Brooktaylor	C100454-9	Va Ni	{-1}	(D34+3)	[2379]	B	S	-	315	7	Im	M0 V
0131	Savinakim	ACB1D95-E	Fl He Hi In	{+5}	(ACA-5)	[8F8D]	fEB	NS	-	705	8	Im	K0 V
0133	Duden	C6A8448-6	Fl Ni	{-2}	(533-4)	[8242]	B	-	-	800	5	Im	K0 V K5 V
0135	Innanen	A100614-D	Va Ni Na	{+1}	(A55-1)	[575E]	B	-	-	403	6	Im	M5 V
0136	Palepu	A6A2889-E	Fl He Ph	{+2}	(D7C+4)	[8A4E]	eB	N	-	404	6	Im	M5 V
0139	Niobe	C100210-7	Va Lo	{-2}	(511-1)	[1184]	B	S	-	602	4	Im	M5 V M5 V
0201	Saitama	ACB366B-A	Fl Ni	{+1}	(D53+2)	[5769]	B	S	-	703	7	Im	M0 V
0202	Tobruk	A000744-C	As Va Na Pi	{+2}	(969-1)	[294A]	DB	N	-	610	5	Im	G5 V G5 V
0203	Navajo	D9A1523-7	Fl He Ni	{-3}	(743-5)	[2244]	B	-	-	312	8	Im	G0 V
0208	Bahner	D7A0356-8	He Lo	{-3}	(921+2)	[118B]	B	-	-	604	8	Im	K0 V
0210	Karajan	B5A09A9-C	He Hi In	{+4}	(D89+4)	[4D1A]	fEB	-	-	504	7	Im	M0 V
0211	Takeshi	E200000-0	Va Ba	{-3}	(B00+5)	[0000]	B	-	-	003	4	Im	M5 V w D
0212	Namrata	A8A6643-B	Fl Ni	{+1}	(B52-2)	[774E]	B	-	-	214	8	Im	K0 V
0214	Banic	C000222-B	As Va Lo	{+0}	(B11-1)	[225D]	B	-	-	615	7	Im	M5 V
0218	Africano	C875522-5	Ni Ag	{-1}	(A41-3)	[5478]	CB	-	-	703	8	Im	K0 V
0223	Carson	ACB4897-D	Fl Ph	{+2}	(E7B+0)	[6A7C]	eB	-	-	705	8	Im	M0 V
0224	Menghuan	C5A4223-5	Fl Lo	{-2}	(B11-4)	[1132]	B	-	-	505	8	Im	M0 V
0225	Tokiwa	C200255-9	Va Lo	{-1}	(911+4)	[2145]	B	-	-	304	8	Im	K5 V
0227	Hyojiyun	E7A3103-8	Fl Lo	{-3}	(D01+3)	[5148]	B	-	-	604	8	Im	K5 V
0228	Colchester	C9DA310-7	Lo	{-2}	(621+2)	[616A]	B	S	-	504	8	Im	K0 V
0230	Trevan	C200235-7	Va Lo	{-2}	(511+0)	[2136]	B	-	-	115	8	Im	K5 V
0231	Durenoma	A100853-E	Va Ph Na Pi	{+2}	(F76-1)	[9A8E]	eDB	-	-	905	6	Im	M5 V
0233	Licandro	A10078A-F	Va Na Pi	{+2}	(76B-1)	[397C]	DB	N	-	705	6	Im	M5 V
0234	Mukhametdinov	E100203-6	Va Lo	{-3}	(211+4)	[112B]	B	-	-	310	4	Im	M0 V M5 V
0235	Ukawa	B7A8876-B	Fl Ph	{+2}	(D7C+4)	[6A1B]	eB	-	-	303	7	Im	M0 V
0239	Alonso	C8B0545-8	He Ni	{-2}	(E41+3)	[4358]	B	S	-	306	7	Im	w D
0306	Parcho	C100559-8	Va Ni	{-2}	(942-2)	[8359]	B	-	-	814	6	Im	M5 V
0308	Kekule	C410445-B	Ni	{+0}	(E36+0)	[143E]	B	S	-	304	7	Im	M0 V
0309	Castello	A4A0953-E	He Hi In	{+4}	(B8B-2)	[BD4D]	fEB	-	-	415	7	Im	M5 V
0312	Liroma	C100798-B	Va Na Pi	{+1}	(866+2)	[A83B]	DB	S	-	305	8	Im	M0 V
