Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0105	Chemnitz	C9A4566-A	Fl Ni Px	{+0}	(D45+0)	[8576]	B	S	-	313	8	Im	G0 V
0106	Brownfield	C7A8584-A	Fl Ni	{+0}	(746-4)	[358C]	B	S	-	403	6	Im	M5 V M5 V M5 V
0110	Teorama	E6A3000-0	Fl Ba	{-3}	(A00-3)	[0000]	B	-	-	000	3	Im	K5 V M5 V
0111	Petrovec	A2007A8-B	Va Na Pi	{+2}	(768-2)	[596B]	DB	-	-	704	6	Im	M5 V
0118	Nagasaki	C200699-A	Va Ni Na	{+0}	(F52+1)	[8649]	B	-	-	705	7	Im	M5 V
0123	Tinchen	E7A1101-9	Fl He Lo	{-2}	(C01+4)	[117C]	B	-	-	502	8	Im	G5 V
0124	Houghton le Spring	D768310-6	Lo	{-3}	(921+1)	[1128]	B	S	-	303	8	Im	K5 V
0131	Gertrud	B200798-C	Va Na Pi	{+2}	(969-2)	[5949]	DB	-	-	104	7	Im	M5 V
0134	Harare	C30078B-A	Va Na Pi	{+1}	(96B+1)	[7817]	DB	S	-	905	9	Im	F5 V
0136	Circleville	X6B8205-4	Fl Lo	{-3}	(B11-1)	[3184]	B	-	R	101	5	Im	G5 V G5 V
0137	Milla ab	C687311-8	Ga Lo	{-2}	(C21-2)	[1133]	B	-	-	313	8	Im	K5 V
0138	Davos	AAB4688-C	Fl Ni Px	{+1}	(856+2)	[674E]	B	N	-	112	8	Im	G5 V
0139	Inselsberg	A200967-E	Va Hi Na In	{+4}	(C8C-1)	[9D7D]	fEB	N	-	605	8	Im	K5 V
0202	Karvina	C770355-8	De He Lo	{-2}	(C21-1)	[1167]	B	-	-	703	8	Im	G5 V
0203	Ostozhenka	C9A138A-7	Fl He Lo	{-2}	(921+2)	[7136]	B	-	-	103	9	Im	F0 V
0204	Sar-e Pul	D200200-7	Va Lo	{-3}	(611-1)	[5137]	B	-	-	605	6	Im	M5 V
0206	Pintar	C8A5541-8	Fl Ni	{-2}	(942-1)	[A339]	B	-	-	503	3	Im	w D w D
0211	Mahdasht	E200484-7	Va Ni	{-3}	(431+2)	[9136]	B	-	-	100	5	Im	F5 V M5 V
0212	Ismailia	C200454-C	Va Ni	{+0}	(B31+5)	[7419]	B	S	-	814	6	Im	M5 V
0227	Capodrise	CAB1510-8	Fl He Ni	{-2}	(E40+1)	[832B]	B	-	-	613	8	Im	G5 V
0228	Prospect Park	C7A2542-6	Fl He Ni	{-2}	(440-3)	[1318]	B	S	-	414	8	Im	K5 V
0230	Mubi	C200221-6	Va Lo	{-2}	(611+1)	[1186]	B	S	-	614	7	Im	M5 V
0234	Mitsumata	B000945-A	As Va Hi Na In	{+5}	(A8D+0)	[CE6A]	fEB	NS	-	923	8	Im	G0 V
0236	Pinhalzinho	C300564-7	Va Ni	{-2}	(744-4)	[5376]	B	S	-	501	4	Im	K0 V K5 V
