Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	
0105	Cohen	C9A5566-A	S	Fl Ni Px	-	213	Im	G0 V	{+0}	(D45+0)	[8576]	B	8	
0106	Danwinegar	C7A4534-7	-	Fl Ni	-	703	Im	M5 V M5 V	{-2}	(740-3)	[6388]	B	6	
0110	Oshanko	E6A3323-6	-	Fl Lo	-	100	Im	K5 V M5 V	{-3}	(421-2)	[1196]	B	3	
0111	Lisbeth	C300653-9	S	Va Ni Na	-	004	Im	M5 V	{-1}	(B52+0)	[657B]	B	6	
0118	Excalibur	C100678-C	-	Va Ni Na	-	905	Im	M5 V	{+0}	(955-1)	[363E]	B	7	
0123	Hannu	XBB0000-0	-	He Ba	R	002	Im	G5 V	{-3}	(B00-2)	[0000]	B	8	
0124	Kozuki	C768564-4	-	Ni Ag Pr	-	803	Im	K5 V	{-1}	(443-1)	[7492]	CcB	8	
0131	Dyan	E100100-9	-	Va Lo	-	304	Im	M5 V	{-2}	(801+2)	[216A]	B	7	
0134	Quatalia	EAB3330-5	-	Fl Lo	-	205	Im	F5 V	{-3}	(721+2)	[1177]	B	9	
0136	Douglas	C6A237B-5	-	Fl He Lo	-	101	Im	G5 V G5 V	{-2}	(721+4)	[4173]	B	5	
0137	Simona	C687453-8	-	Ga Ni Pa	-	313	Im	K5 V	{-2}	(930-5)	[9216]	cB	8	
0138	Winchester	C410554-C	-	Ni	-	912	Im	G5 V	{+0}	(846+1)	[452D]	B	8	
0139	Mulisch	E200200-A	-	Va Lo	-	205	Im	K5 V	{-1}	(911-1)	[114D]	B	8	
0202	Sinatra	C7A2523-9	S	Fl He Ni	-	503	Im	G5 V	{-1}	(742-4)	[44AC]	B	8	
0203	Narendra	BAB1797-B	NS	Fl He	-	703	Im	F0 V	{+3}	(A69+5)	[7A5E]	B	9	
0204	Illeser	C200446-A	S	Va Ni	-	505	Im	M5 V	{+0}	(B34-2)	[248A]	B	6	
0206	Barson	E8A5203-4	-	Fl Lo	-	603	Im	w D w D	{-3}	(A11+2)	[6171]	B	3	
0211	Guidotti	CBB2322-9	-	Fl He Lo	-	300	Im	F5 V M5 V	{-1}	(621-5)	[6218]	B	5	
0212	Largolan	C000446-A	-	As Va Ni	-	514	Im	M5 V	{+0}	(D35+4)	[145B]	B	6	
0227	Halifax	C6A2477-6	-	Fl He Ni Px	-	613	Im	G5 V	{-2}	(830-1)	[3244]	B	8	
0228	Seohideaki	C200311-B	-	Va Lo	-	214	Im	K5 V	{+0}	(D21+0)	[2359]	B	8	
0230	Xundian	C100555-C	-	Va Ni	-	614	Im	M5 V	{+0}	(F43+2)	[151A]	B	7	
0234	Hukeller	E200234-8	-	Va Lo	-	923	Im	G0 V	{-3}	(C11+1)	[2119]	B	8	
