Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	
0101	Armaros	A6A4730-A	-	Fl	-	001	Im	M5 V M5 V	{+2}	(569-4)	[694D]	B	4	
0102	Arnolda	B200865-C	-	Va Ph Na Pi	-	706	Im	K0 V	{+2}	(87D-2)	[5A58]	eDB	8	
0103	Pholus	D200512-7	-	Va Ni	-	413	Im	K5 V	{-3}	(C43+4)	[4268]	B	7	
0104	Udinsk	C6A6400-9	-	Fl Ni	-	103	Im	M5 V	{-1}	(535-2)	[138C]	B	6	
0106	Cowell	C000334-8	-	As Va Lo	-	814	Im	M0 V	{-2}	(E21+0)	[117B]	B	7	
0108	Koopman	B1006A7-C	-	Va Ni Na	-	414	Im	K5 V	{+1}	(B55-1)	[671F]	B	7	
0109	Iguassu	B10089B-E	N	Va Ph Na Pi	-	104	Im	M0 V	{+2}	(D77-2)	[AA4E]	eDB	7	
0110	Houghten	C100657-D	-	Va Ni Na	-	515	Im	M5 V	{+0}	(F55+0)	[363D]	B	7	
0120	Rishirifuji	B8A3631-B	-	Fl Ni	-	405	Im	K5 V	{+1}	(952+0)	[2726]	B	8	
0121	Reaves	A9A4A9A-D	NS	Fl Hi In	-	003	Im	M0 V	{+5}	(79A-2)	[AF7B]	fEB	7	
0127	Astrakhan	CAB3321-6	S	Fl Lo	-	401	Im	G5 V	{-2}	(521-1)	[5197]	B	8	
0129	Schupmann	C300124-B	-	Va Lo	-	607	Im	w D	{+0}	(D01+3)	[115A]	B	8	
0134	Vaasa	E000156-8	-	As Va Lo	-	725	Im	M0 V	{-3}	(C01+5)	[21A4]	B	8	
0135	Gerbefremov	B6A39C7-8	-	Fl Hi In	-	804	Im	K5 V	{+2}	(B89+3)	[BB46]	EB	8	
0136	Freeman	B2008BD-9	NS	Va Ph Na Pi	-	804	Im	M5 V	{+2}	(B7B-2)	[9A7D]	eDB	6	
0139	Nolde	C6A1558-7	S	Fl He Ni Px	-	513	Im	G0 V	{-2}	(A42-2)	[335C]	B	8	
0140	Santo	C6B6373-7	-	Fl Lo	-	403	Im	M5 V	{-2}	(621+0)	[4185]	B	6	
0201	Claudia	C975401-9	-	Ni Pa	-	213	Im	G0 V	{-1}	(B33+2)	[7349]	cB	8	
0203	Gann	C8A0302-A	S	He Lo	-	604	Im	M0 V	{+0}	(C21+0)	[538D]	B	7	
0207	Bopak	CCB2843-6	-	Fl He Ph	-	104	Im	M5 V	{-1}	(C75+4)	[C741]	eB	7	
0209	Yagudina	A6A2899-9	-	Fl He Ph	-	613	Im	K0 V	{+1}	(B7D-1)	[4987]	eB	8	
0216	Cousteau	D410344-6	S	Lo	-	301	Im	F0 V	{-3}	(721+1)	[1157]	B	9	
0218	Glarona	A100777-E	-	Va Na Pi	-	615	Im	M5 V	{+2}	(D66-3)	[A92F]	DB	7	
0219	Dinotina	B100732-B	N	Va Na Pi	-	704	Im	M5 V	{+2}	(766-1)	[795A]	DB	6	
0221	Amaldi	C200575-9	-	Va Ni	-	006	Im	M0 V	{-1}	(F45+1)	[547C]	B	8	
0237	Toyako	D100449-A	-	Va Ni	-	004	Im	M5 V	{-1}	(D31-4)	[1347]	B	7	
0302	Blida	D100346-9	-	Va Lo	-	613	Im	K5 V M5 V w D	{-2}	(B21-2)	[414A]	B	6	
0307	Ooster	C200595-6	S	Va Ni	-	503	Im	K5 V	{-2}	(640+3)	[431B]	B	7	
