Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0101	Archon	A6B4730-A	Fl	{+2}	(569-4)	[694D]	B	-	-	101	4	Im	M5 V M5 V
0102	Arnolda	B7B7865-B	Fl Ph	{+2}	(87D-2)	[5A57]	eB	-	-	806	8	Im	K0 V
0103	Pholus	D7B1512-6	Fl He Ni	{-3}	(C43+4)	[4267]	B	-	-	513	7	Im	K5 V
0104	Zerlina	C400400-A	Va Ni	{+0}	(536-2)	[148D]	B	-	-	203	6	Im	M5 V
0106	Caliumi	C200334-7	Va Lo	{-2}	(921+0)	[117A]	B	-	-	914	7	Im	M0 V
0108	Koopman	B1006A7-C	Va Ni Na	{+1}	(B55-1)	[671F]	B	-	-	514	7	Im	K5 V
0109	Iguassu	BAA789B-C	Fl Ph	{+2}	(D77-2)	[AA4C]	eB	N	-	204	7	Im	M0 V
0110	Houghten	C100657-D	Va Ni Na	{+0}	(F55+0)	[363D]	B	-	-	615	7	Im	M5 V
0120	Rishirifuji	B200631-C	Va Ni Na	{+1}	(952+0)	[2727]	B	-	-	505	8	Im	K5 V
0121	Betsill	A7B7A9A-D	Fl Hi In	{+5}	(79A-2)	[AF7B]	fEB	NS	-	103	7	Im	M0 V
0127	Gowland	C6A5321-6	Fl Lo	{-2}	(521-1)	[5197]	B	S	-	501	8	Im	G5 V
0129	Schupmann	C300124-B	Va Lo	{+0}	(D01+3)	[115A]	B	-	-	707	8	Im	w D
0134	Vaasa	E200156-7	Va Lo	{-3}	(501+5)	[21A3]	B	-	-	825	8	Im	M0 V
0135	Gerbefremov	B8B29C7-8	Fl He Hi In	{+2}	(B89+3)	[BB46]	EB	-	-	904	8	Im	K5 V
0136	Kiladze	B2008BD-9	Va Ph Na Pi	{+2}	(B7B-2)	[9A7D]	eDB	NS	-	904	6	Im	M5 V
0139	Nolde	C7B1558-7	Fl He Ni Px	{-2}	(A42-2)	[335C]	B	S	-	613	8	Im	G0 V
0140	Santo	C200373-8	Va Lo	{-2}	(921+0)	[4186]	B	-	-	503	6	Im	M5 V
0201	Ekrutt	C975401-9	Ni Pa	{-1}	(B33+2)	[7349]	cB	-	-	313	8	Im	G0 V
0203	Gann	C200302-B	Va Lo	{+0}	(C21+0)	[538E]	B	S	-	704	7	Im	M0 V
0207	Braslos	C300843-7	Va Ph Na Pi	{-1}	(C75+4)	[C742]	eDB	-	-	204	7	Im	M5 V
0209	Yagudina	AEB3899-9	Fl Ph	{+1}	(B7D-1)	[4987]	eB	-	-	713	8	Im	K0 V
0216	Seki	DDB5344-5	Fl Lo	{-3}	(721+1)	[1156]	B	S	-	401	9	Im	F0 V
0218	Bogard	A200777-D	Va Na Pi	{+2}	(D66-3)	[A92E]	DB	-	-	715	7	Im	M5 V
0219	Dinotina	B200732-A	Va Na Pi	{+2}	(766-1)	[7959]	DB	N	-	804	6	Im	M5 V
0221	Amaldi	C200575-9	Va Ni	{-1}	(F45+1)	[547C]	B	-	-	106	8	Im	M0 V
0237	Toyako	D200449-9	Va Ni	{-2}	(D30-4)	[1246]	B	-	-	104	7	Im	M5 V
0302	Carletonville	DDB3346-7	Fl Lo Px	{-3}	(721-2)	[4148]	B	-	-	713	6	Im	K5 V M5 V w D
0307	Pyatnitskij	C200595-6	Va Ni	{-2}	(640+3)	[431B]	B	S	-	603	7	Im	K5 V
0310	Matsushima	C200422-A	Va Ni	{+0}	(F32+1)	[745A]	B	-	-	314	8	Im	M0 V
0313	Urras	C8A0216-8	He Lo	{-2}	(811+0)	[11AB]	B	-	-	412	8	Im	G5 V
0314	Sundaresh	B6A07BF-C	He	{+2}	(B6A-1)	[6979]	B	S	A	410	4	Im	K5 V M5 V
0315	Minerva	A685646-A	Ga Ni Ag Ri	{+3}	(855+4)	[8969]	CB	-	-	400	5	Im	F5 V M5 V
0324	Heimdal	C200556-7	Va Ni	{-2}	(540+1)	[336A]	B	-	-	105	7	Im	M5 V
0325	Heyler	EBB1414-7	Fl He Ni	{-3}	(A30+1)	[8177]	B	-	-	813	8	Im	K5 V
0327	Megmoulding	ADB6745-A	Fl	{+2}	(868+3)	[A937]	B	N	-	303	8	Im	K0 V
0335	Bergvall	E200446-8	Va Ni	{-3}	(B30+0)	[6138]	B	-	-	502	4	Im	M5 V M5 V
0406	Rohit	C6A0430-9	He Ni	{-1}	(E33-2)	[5346]	B	S	-	603	8	Im	K0 V
0411	Zanotta	D6B4310-3	Fl Lo	{-3}	(321-1)	[3151]	B	S	-	815	7	Im	M5 V
0418	Kiek	CAB4522-6	Fl Ni	{-2}	(344-1)	[633A]	B	S	-	303	7	Im	M0 V
0421	Bahir Dar	A7A7998-E	Fl Hi In	{+4}	(58C-1)	[9D4C]	fEB	-	-	303	8	Im	K0 V
0430	Gonzales	C6A6720-9	Fl	{+0}	(B67+1)	[8776]	B	-	-	300	5	Im	G0 V M5 V
0431	Sue	C000532-A	As Va Ni	{+0}	(641+4)	[35A7]	B	S	-	600	3	Im	M0 V w D
0433	Aconcagua	C200546-7	Va Ni	{-2}	(A40+0)	[3319]	B	S	-	705	8	Im	M0 V
0437	Burdigala	B200657-D	Va Ni Na	{+1}	(B52+1)	[976B]	B	N	-	306	7	Im	M0 V
0440	Arbesfeld	C200440-A	Va Ni	{+0}	(D36-4)	[548D]	B	-	-	714	7	Im	M0 V
0501	Saint-Louis	A8B89AA-F	Fl Hi In	{+4}	(A8D-2)	[5D5F]	fEB	N	-	400	4	Im	K5 V K5 V
