Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	
0103	Yasushi	A300896-F	-	Va Ph Na Pi	-	603	Im	M5 V M5 V	{+2}	(87B-2)	[BA1D]	eDB	5	
0106	Galegant	B9A9632-A	-	Fl Ni	-	804	Im	M0 V	{+1}	(E53-1)	[676A]	B	7	
0110	Terrell	A300731-A	-	Va Na Pi	-	006	Im	K5 V	{+2}	(F65+1)	[B97B]	DB	8	
0111	Torghaus	C5A3314-A	-	Fl Lo	-	611	Im	M0 V M5 V	{+0}	(421+1)	[232A]	B	4	
0113	Gershberg	C9B9500-B	S	Fl Ni	-	404	Im	M5 V	{+0}	(845+1)	[2517]	B	6	
0123	Kintaikyo	C975367-4	-	Lo	-	013	Im	G5 V	{-2}	(821+2)	[2113]	B	8	
0126	Etienne	E866200-5	-	Ga Lo	-	103	Im	F0 V	{-3}	(411-3)	[1163]	B	9	
0131	Malva	CAB3541-5	-	Fl Ni	-	001	Im	M0 V M5 V	{-2}	(743+4)	[7374]	B	4	
0133	Rastrelli	C996223-6	S	Lo	-	614	Im	K0 V	{-2}	(611+0)	[6153]	B	8	
0135	Coltar	A200CBC-D	N	Va Hi Na In	-	904	Im	K5 V	{+4}	(CBC+2)	[CF1C]	fEB	8	
0202	Las Cruces	C752410-5	S	Ni Po	-	202	Im	F0 V	{-2}	(530-3)	[9285]	B	9	
0205	Perotto	E200200-7	-	Va Lo	-	004	Im	w D w D	{-3}	(911+4)	[615A]	B	5	
0207	Kastner	B4109CC-B	-	Hi Na In	-	806	Im	M0 V	{+4}	(B8B-1)	[BD58]	fEB	8	
0213	Benbrewer	C5A7211-8	-	Fl Lo	-	102	Im	G0 V	{-2}	(811-2)	[4146]	B	8	
0216	Terazono	D7A9000-0	-	Fl Ba	-	000	Im	K0 V M5 V	{-3}	(800+1)	[0000]	B	3	
0217	Baschek	C200676-7	-	Va Ni Na	-	104	Im	M5 V	{-2}	(950-1)	[444B]	B	6	
0219	Kirstine	C100467-8	-	Va Ni	-	004	Im	M0 V	{-2}	(A34+1)	[5247]	B	7	
0225	Gotouhideo	C100273-7	-	Va Lo	-	105	Im	M5 V	{-2}	(611+1)	[514C]	B	7	
0228	Hogarth	CAB1420-6	-	Fl He Ni	-	403	Im	F5 V	{-2}	(632+3)	[3219]	B	9	
0230	Hamatonbetsu	A1009DC-C	N	Va Hi Na In	-	004	Im	M5 V	{+4}	(E86-2)	[7DAD]	fEB	6	
0232	Puccini	C200434-A	-	Va Ni	-	408	Im	w D	{+0}	(F36+1)	[54AC]	B	8	
0235	Ichinohe	C200425-7	-	Va Ni	-	615	Im	M5 V	{-2}	(A30+0)	[12A9]	B	7	
0238	Chagas	D6A4000-0	S	Fl Ba	-	005	Im	M5 V	{-3}	(500-2)	[0000]	B	7	
0239	Golovyno	B200833-A	-	Va Ph Na Pi	-	915	Im	M5 V	{+2}	(F77-1)	[7A5A]	eDB	6	
0301	Lorbach	B300775-B	S	Va Na Pi	-	614	Im	M0 V	{+2}	(D6B+3)	[391F]	DB	7	
0304	Koussa	DEB0110-7	-	Lo	-	702	Im	K0 V	{-3}	(501-1)	[1193]	B	8	
0307	Volonte	C20059B-B	S	Va Ni	-	205	Im	M5 V	{+0}	(A41+1)	[5568]	B	6	
0309	Viggh	A200786-A	NS	Va Na Pi	-	201	Im	K5 V M5 V	{+3}	(36B-2)	[9A39]	DB	4	
0313	Pivatte	A8A5CFF-F	N	Fl Hi In	A	312	Im	K5 V	{+4}	(ABB+2)	[8F6F]	fEB	7	
0314	Miyazawa	C7A0100-8	-	He Lo	-	405	Im	M0 V	{-2}	(B01+4)	[1188]	B	7	
0315	Arjunsuri	E5A5443-8	-	Fl Ni	-	903	Im	G0 V	{-3}	(A30-1)	[515D]	B	8	
0319	Fermat	C200652-9	-	Va Ni Na	-	508	Im	w D	{-1}	(C54-3)	[6559]	B	8	
0320	Adele	B1007AD-E	S	Va Na Pi	-	900	Im	M5 V M5 V	{+2}	(764-4)	[993E]	DB	2	
0324	Kimino	C41048A-8	S	Ni	-	812	Im	K0 V	{-2}	(632+2)	[12A5]	B	8	
0325	Nijhawan	B00079B-D	-	As Va Na Pi	-	000	Im	K0 V K5 V	{+2}	(46B+5)	[891F]	DB	2	
0331	Seidelmann	C5A0445-9	S	He Ni	-	303	Im	M5 V	{-1}	(835-3)	[4316]	B	6	
0335	Beck	C100445-9	-	Va Ni	-	603	Im	M5 V M5 V	{-1}	(832-2)	[339A]	B	5	
0338	Arsinoe	E5B2220-7	-	Fl He Lo	-	205	Im	M0 V	{-3}	(911-1)	[2142]	B	8	
0339	Amymeyer	CEB0220-9	-	Lo	-	704	Im	K0 V	{-1}	(E11-2)	[216B]	B	8	
0403	Loharu	A200763-A	-	Va Na Pi	-	003	Im	M5 V M5 V	{+2}	(76A-1)	[6957]	DB	5	
0404	Somalia	B4109CE-D	-	Hi Na In	A	904	Im	M0 V	{+4}	(A8C+1)	[6D1C]	fEB	7	
0410	Severny	B5A1888-9	NS	Fl He Ph	-	304	Im	M0 V	{+2}	(876+1)	[8A6D]	eB	7	
0414	Tongjili	C000455-9	-	As Va Ni	-	715	Im	M0 V	{-1}	(D32+1)	[6357]	B	7	
0415	Kurate	C000595-9	-	As Va Ni	-	010	Im	G0 V M5 V	{-1}	(745-3)	[2457]	B	4	
0416	Roseville	C100464-A	-	Va Ni	-	513	Im	M0 V	{+0}	(732+2)	[44AA]	B	7	
0419	Volhard	E5A0230-7	-	He Lo	-	804	Im	K0 V	{-3}	(511+1)	[3166]	B	8	
0421	von Wurden	E000533-7	-	As Va Ni	-	516	Im	M5 V	{-3}	(840-2)	[6287]	B	7	
0422	Jianning	C5A6598-5	S	Fl Ni	-	404	Im	K5 V	{-2}	(844+4)	[6331]	B	8	
0423	Mojmir	B200879-9	-	Va Ph Na Pi	-	304	Im	K5 V	{+1}	(F73-3)	[6949]	eDB	7	
0424	Boltwood	C8B6763-6	S	Fl	-	205	Im	F5 V	{-1}	(76A+2)	[966B]	B	9	
0429	Stesullivan	C6A7465-6	-	Fl Ni	-	706	Im	w D	{-2}	(230-5)	[5253]	B	7	
0431	Smalley	B00088A-B	-	As Va Ph Na Pi	-	224	Im	M0 V	{+2}	(D7C-2)	[8A8B]	eDB	7	
0432	Teldur	A000787-F	NS	As Va Na Pi	-	814	Im	M0 V	{+3}	(A68+3)	[5A3E]	DB	7	
0437	Samadhi	B863797-B	N	Ri	-	704	Im	F5 V	{+3}	(A69-5)	[6A4B]	CB	9	
0438	Matenko	B4109A8-A	-	Hi Na In	-	205	Im	M0 V	{+4}	(D8D+0)	[8D9D]	fEB	7	
0505	Typhon	EAB2566-4	-	Fl He Ni Px	-	504	Im	K0 V	{-3}	(742+1)	[6214]	B	8	
0510	Eurysaces	E100245-7	-	Va Lo	-	205	Im	M5 V	{-3}	(711-3)	[1155]	B	6	
0512	Kemi	B5A3646-8	S	Fl Ni Px	-	413	Im	G0 V	{-1}	(E51+2)	[6573]	B	9	
0513	Mimata	X673310-3	-	Lo	R	103	Im	F0 V	{-3}	(A21+1)	[6153]	B	9	
0515	Aurigae	D200443-4	S	Va Ni	-	613	Im	M0 V	{-3}	(333-2)	[1145]	B	7	
0516	Vaticana	C7A6400-A	-	Fl Ni	-	702	Im	K5 V	{+0}	(A33+2)	[34AC]	B	7	
0517	Renmir	C7A6588-6	-	Fl Ni	-	905	Im	M0 V	{-2}	(844-1)	[4327]	B	8	
0518	Akhil	C7A4310-6	-	Fl Lo	-	214	Im	K5 V	{-2}	(921+3)	[5156]	B	7	
0521	Clay	A5A3946-C	-	Fl Hi In	-	001	Im	M0 V M5 V	{+4}	(38E-2)	[DD4E]	fEB	4	
0525	Senta	C100544-B	-	Va Ni	-	811	Im	M0 V M5 V	{+0}	(643+0)	[555F]	B	4	
0526	Pinatubo	A9B39CF-A	-	Fl Hi In	A	304	Im	M5 V	{+4}	(D89+0)	[ED6A]	fEB	6	
0528	Jip	C410320-6	-	Lo	-	600	Im	A5 V A5 V	{-2}	(921+1)	[1138]	B	3	
0530	Leo	B2006BC-D	S	Va Ni Na	-	008	Im	w D	{+1}	(D56+0)	[373B]	B	8	
0531	Wuzhou	C7A2475-A	-	Fl He Ni	-	900	Im	K0 V K5 V	{+0}	(732+4)	[5489]	B	3	
0532	Fukui	A5A4696-B	-	Fl Ni Px	-	102	Im	G0 V	{+1}	(656+3)	[774C]	B	8	
0535	Leshin	CAB5300-7	-	Fl Lo	-	402	Im	A0 V	{-2}	(821+0)	[315A]	B	10	
0537	Coughlin	DBB2343-7	S	Fl He Lo	-	213	Im	K0 V	{-3}	(921-2)	[1157]	B	8	
0538	Libera	C200455-C	-	Va Ni	-	107	Im	w D	{+0}	(F31-3)	[148B]	B	7	
0540	Marchare	C200458-8	-	Va Ni	-	606	Im	w D	{-2}	(F30-5)	[625A]	B	7	
0603	Wangler	B8B2776-9	NS	Fl He	-	814	Im	G5 V	{+2}	(F6B-1)	[3965]	B	8	
0605	Kyoshi	C100555-A	S	Va Ni	-	615	Im	M0 V	{+0}	(F46+5)	[1535]	B	8	
0606	De'an	DAB2488-4	-	Fl He Ni Px	-	800	Im	K0 V K5 V	{-3}	(530-4)	[41A6]	B	2	
0608	Guangping	C100313-8	-	Va Lo	-	500	Im	F0 V K5 V M5 V	{-2}	(C21+3)	[6177]	B	4	
0609	Niknesterov	C300345-7	S	Va Lo	-	504	Im	M0 V	{-2}	(421-4)	[3177]	B	7	
0610	Nunes	A3008AD-C	N	Va Ph Na Pi	-	305	Im	w D w D	{+2}	(F7C-2)	[BA7C]	eDB	5	
0612	Janice	BAB2662-8	-	Fl He Ni	-	813	Im	G0 V	{-1}	(953-2)	[6597]	B	8	
0617	Dorchester	C100323-C	-	Va Lo	-	704	Im	w D w D	{+0}	(821-2)	[134C]	B	4	
0620	Pepi	B858663-9	-	Ni Ag	-	403	Im	G0 V	{+1}	(B57+0)	[673A]	CB	8	
0622	Path	CDB7220-7	-	Fl Lo	-	503	Im	G5 V	{-2}	(911-1)	[1154]	B	8	
0623	Ellensburg	C679320-8	S	Lo	-	000	Im	M0 V M5 V	{-2}	(621-2)	[1117]	B	3	
0626	Hippocrene	B100995-A	NS	Va Hi Na In	-	406	Im	M5 V	{+5}	(F8E-1)	[EE6B]	fEB	7	
0628	Avicenna	BCB6696-9	NS	Fl Ni	-	802	Im	G5 V	{+1}	(856-2)	[571B]	B	8	
0630	Rodnyanskaya	C100445-A	-	Va Ni	-	004	Im	M0 V	{+0}	(C32+1)	[442E]	B	7	
0631	Vera	C897589-4	-	Ni Ag	-	213	Im	G5 V	{-1}	(344+1)	[5491]	CB	8	
0634	Qingyang	C200332-A	S	Va Lo	-	804	Im	K0 V	{+0}	(921+0)	[736A]	B	8	
0635	Monikohl	C6A3234-A	S	Fl Lo	-	803	Im	M0 V M5 V	{+0}	(A11-1)	[325A]	B	6	
0640	Viktor	C410453-B	-	Ni	-	513	Im	G5 V	{+0}	(A31-2)	[5458]	B	8	
0701	Hekate	B300634-B	N	Va Ni Na	-	304	Im	M5 V	{+1}	(B53+2)	[7739]	B	7	
0702	Ambrofogar	A1009BB-F	N	Va Hi Na In	-	302	Im	M5 V M5 V	{+4}	(88C+5)	[7D4C]	fEB	4	
0711	Aesop	B661723-9	-	Ri	-	713	Im	K5 V	{+2}	(866-3)	[5937]	CB	7	
0713	Westminster	D9B27BA-3	S	Fl He	-	001	Im	G5 V G5 V	{-2}	(662+2)	[9551]	B	6	
0719	Werra	EBB0242-4	-	He Lo	-	902	Im	F5 V	{-3}	(411+3)	[1123]	B	9	
0723	Yangzhou	C100400-8	-	Va Ni	-	503	Im	G0 V	{-2}	(A30-3)	[6276]	B	9	
0726	Metelli	C5A8334-5	-	Fl Lo	-	310	Im	M5 III	{-2}	(A21+3)	[2143]	B	9	
0727	van Altena	D200210-4	S	Va Lo	-	406	Im	w D	{-3}	(A11+4)	[1158]	B	7	
0729	Idomeneus	D410300-A	S	Lo	-	700	Im	F5 V F5 V	{-1}	(721+0)	[1269]	B	4	
0730	Heizman	EDB5358-8	-	Fl Lo Px	-	603	Im	M5 V	{-3}	(C21+1)	[1167]	B	6	
0731	Lazaridis	C100676-B	-	Va Ni Na	-	802	Im	M0 V M5 V	{+0}	(A51+1)	[565A]	B	4	
0733	Laverna	A200856-D	-	Va Ph Na Pi	-	007	Im	w D	{+2}	(C7A+1)	[7A3A]	eDB	7	
0734	Pedrajo	C100420-B	S	Va Ni	-	306	Im	w D	{+0}	(936+0)	[345A]	B	7	
0735	Echnaton	CCB0489-6	-	He Ni	-	304	Im	G5 V	{-2}	(531+2)	[8244]	B	8	
0739	Odenwald	B100643-E	S	Va Ni Na	-	804	Im	M0 V	{+1}	(E56+1)	[B73F]	B	8	
0740	Nord	C6A2732-8	-	Fl He	-	003	Im	K5 V	{-1}	(967-2)	[A667]	B	8	
0801	Dallolmo	BBB0897-C	-	He Ph	-	902	Im	F0 V	{+2}	(B77+2)	[8A8D]	eB	9	
0802	Rozenblyum	E200210-9	-	Va Lo	-	705	Im	M5 V	{-2}	(C11+3)	[1119]	B	7	
0803	Margalida	C7A6451-8	S	Fl Ni	-	105	Im	M0 V	{-2}	(B30+0)	[5237]	B	8	
0804	Lessek	CCB6323-7	-	Fl Lo	-	903	Im	G0 V	{-2}	(C21+2)	[2125]	B	8	
0808	Sears	A30077A-E	N	Va Na Pi	-	100	Im	F5 V F5 V	{+2}	(86B-2)	[592D]	DB	5	
0822	Hansen	X865345-F	-	Ga Lo	R	900	Im	G5 V w D	{-1}	(621-4)	[6211]	B	4	
0823	Kumiyama	C6BA331-7	S	Fl Lo	-	104	Im	M5 V	{-2}	(921+1)	[2175]	B	6	
0826	Lepage	A100973-F	-	Va Hi Na In	-	705	Im	M5 V	{+4}	(887-1)	[8D8F]	fEB	7	
0827	Frydek	C100563-9	-	Va Ni	-	605	Im	M5 V	{-1}	(A42+3)	[2444]	B	6	
0829	Kallavesi	A200861-F	N	Va Ph Na Pi	-	204	Im	M5 V	{+2}	(C77+2)	[4A1C]	eDB	6	
0831	Sunanda	C100554-C	S	Va Ni	-	105	Im	M0 V	{+0}	(943+5)	[651B]	B	7	
0832	Tinchen	A100611-E	N	Va Ni Na	-	304	Im	M5 V	{+1}	(B52+0)	[475E]	B	6	
0904	Wwu	B200787-B	-	Va Na Pi	-	805	Im	M5 V	{+2}	(A66+1)	[6959]	DB	6	
0906	Raksha	C300686-A	-	Va Ni Na	-	601	Im	K5 V M5 V	{+0}	(752-3)	[6657]	B	4	
0908	Aldaz	A2008AB-B	-	Va Ph Na Pi	-	116	Im	w D	{+2}	(D7C-4)	[BA4F]	eDB	8	
0912	Macon	BDBA67A-A	-	Fl Ni	-	904	Im	M0 V	{+1}	(852+2)	[B79C]	B	7	
0916	Cliffsimak	AFB7EFF-F	-	Fl Hi In	A	904	Im	K0 V	{+4}	(9DD-4)	[FF2F]	fEB	8	
0921	Multatuli	E000152-A	-	As Va Lo	-	814	Im	K0 V	{-1}	(E01-2)	[11A7]	B	8	
0923	Horgos	A992746-B	N	He Pi	-	912	Im	G0 V	{+2}	(867-4)	[A95F]	DB	8	
0928	Keneke	C986320-4	S	Lo	-	301	Im	G5 V G5 V	{-2}	(721-1)	[1154]	B	3	
0933	Miller	A20089D-E	-	Va Ph Na Pi	-	813	Im	K0 V	{+2}	(979+4)	[5A3D]	eDB	8	
0937	Montgomery	C300530-6	-	Va Ni	-	500	Im	G0 V w D	{-2}	(640-4)	[7355]	B	4	
0939	Blaauw	C100441-8	-	Va Ni	-	201	Im	M0 V M5 V	{-2}	(733-1)	[1276]	B	1	
1007	Manno	CAB0686-9	-	He Ni	-	004	Im	M0 V	{-1}	(A55+4)	[4529]	B	7	
1009	Newmarket	ACB0997-A	-	He Hi In	-	704	Im	G5 V	{+4}	(D8B+1)	[9D7A]	fEB	8	
1010	Tainan	C100546-B	-	Va Ni	-	314	Im	M0 V	{+0}	(946-1)	[4577]	B	7	
1012	Loufaix	C765573-5	-	Ga Ni Ag Pr	-	004	Im	K5 V	{-1}	(744+5)	[7473]	CcB	8	
1015	Tone	E000000-0	-	As Va Ba	-	024	Im	K5 V	{-3}	(A00+2)	[0000]	B	8	
1017	Oberursel	C5A2567-A	-	Fl He Ni Px	-	904	Im	M5 V	{+0}	(C44+0)	[9586]	B	7	
1018	Verdenet	B2009BB-A	-	Va Hi Na In	-	307	Im	w D	{+4}	(F89+2)	[DD4C]	fEB	7	
1019	Pisano	B300667-A	-	Va Ni Na	-	002	Im	M5 V M5 V	{+1}	(852+3)	[7758]	B	4	
1021	Hitsuzan	A5A0855-B	NS	He Ph	-	505	Im	M0 V	{+3}	(F79+5)	[AB39]	eB	8	
1032	Schmoll	E10047C-8	-	Va Ni	-	403	Im	M0 V	{-3}	(A30-3)	[118D]	B	7	
1033	Roberts	D6B7424-7	-	Fl Ni	-	313	Im	M0 V	{-3}	(530-2)	[8123]	B	7	
