Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0108	Tienchang	A100622-F	Va Ni Na	{+1}	(F52-2)	[476F]	B	N	-	604	7	Im	M5 V
0109	Jonathan	C000541-7	As Va Ni	{-2}	(B40+5)	[8312]	B	-	-	814	8	Im	M0 V
0116	Panoramix	C000665-C	As Va Ni Na	{+0}	(853-1)	[368C]	B	-	-	813	8	Im	G0 V
0117	Ka-Dar	C200534-B	Va Ni	{+0}	(D41-1)	[3549]	B	S	-	807	8	Im	w D
0119	Torasan	EDB2131-4	Fl Lo	{-3}	(601-5)	[1116]	B	-	-	424	8	Im	K0 V
0121	Simfero	BDB1766-B	Fl	{+2}	(665+3)	[A987]	B	-	-	102	7	Im	K5 V
0122	Drummondville	D783573-2	Ni Pr	{-3}	(740+0)	[6293]	cB	S	-	203	8	Im	G5 V
0128	Gnedin	B8A1646-C	Fl He Ni Px	{+1}	(754+5)	[577A]	B	-	-	403	8	Im	K0 V
0134	Ebella	C000521-B	As Va Ni	{+0}	(B42+0)	[557C]	B	-	-	222	9	Im	G0 V
0137	Wallia	B100966-F	Va Hi Na In	{+4}	(88B-1)	[AD2E]	fEB	S	-	102	4	Im	M5 V M5 V
0140	Selqet	C100224-A	Va Lo	{+0}	(C11-1)	[5276]	B	-	-	914	7	Im	M0 V
0201	Deipylos	A200867-E	Va Ph Na Pi	{+2}	(F78+3)	[AA8C]	eDB	-	-	515	8	Im	G5 V
0203	Toyota	D410488-7	Ni	{-3}	(C32+0)	[8184]	B	-	-	122	4	Im	M5 V M5 V
0205	Sygnol	C9B0512-8	He Ni	{-2}	(A40+1)	[7348]	B	S	-	303	8	Im	G5 V
0206	Tanakadate	C410300-B	Lo	{+0}	(F21-4)	[236A]	B	-	-	812	8	Im	G0 V
0212	Roehla	C10048A-A	Va Ni	{+0}	(A32+4)	[1487]	B	S	-	904	7	Im	M0 V
0220	Nevaeh	DAB4455-7	Fl Ni	{-3}	(B33+1)	[617B]	B	S	-	303	8	Im	K5 V
0227	Shibin Al Kawm	C100413-B	Va Ni	{+0}	(932-1)	[446F]	B	S	-	411	4	Im	M0 V M5 V
0234	Rubyroe	C9A7204-8	Fl Lo	{-2}	(811-3)	[5165]	B	S	-	810	5	Im	K5 V K5 V
0235	Asb'El	C100222-7	Va Lo	{-2}	(511-2)	[1126]	B	S	-	303	5	Im	M5 V M5 V
0239	Ioffe	C866432-9	Ga Ni Pa	{-1}	(F30-1)	[1365]	cB	-	-	513	8	Im	K0 V
0302	Pingyang	B1006AA-A	Va Ni Na	{+1}	(453-1)	[676B]	B	N	-	301	4	Im	M5 V w D
0305	Mcgaha	C4A5556-9	Fl Ni Px	{-1}	(A44-3)	[244D]	B	-	-	803	8	Im	G0 V
0306	Enver	B200ABA-B	Va Hi Na In	{+4}	(F97-2)	[6E5A]	fEB	S	-	908	8	Im	w D
0308	Offa	CAB37BE-6	Fl	{-1}	(B68-1)	[7635]	B	-	-	303	6	Im	M5 V
0311	Chuckshaw	C100501-A	Va Ni	{+0}	(F41-1)	[3516]	B	S	-	903	6	Im	M5 V
0314	Danbritt	C100400-9	Va Ni	{-1}	(C30-3)	[531A]	B	S	-	704	7	Im	M0 V
0315	Xizezong	A000756-F	As Va Na Pi	{+2}	(869+1)	[598F]	DB	-	-	114	6	Im	M5 V
0319	Kopff	E7A6000-0	Fl Ba	{-3}	(800+0)	[0000]	B	-	-	006	8	Im	M0 V
