Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0102	Jia	B6A0676-B	He Ni	{+1}	(752-3)	[A76F]	B	N	-	403	6	Im	M5 V
0111	Folinsbee	C100578-A	Va Ni	{+0}	(841+1)	[754B]	B	-	-	305	7	Im	M5 V
0112	Sosva	CAB0532-A	He Ni	{+0}	(C44+1)	[7539]	B	-	-	222	9	Im	F0 V
0113	Urgenta	B9539B7-B	Hi Po	{+3}	(98B+0)	[BC6E]	EB	S	-	912	9	Im	F0 V
0114	Lester	D6A5536-5	Fl Ni Px	{-3}	(640+2)	[7246]	B	S	-	500	3	Im	G5 V M5 V
0118	Ferenczi	B5A1663-A	Fl He Ni	{+1}	(B52+1)	[577A]	B	N	-	603	9	Im	F5 V
0119	Aurochs	C200111-A	Va Lo	{+0}	(C01+2)	[416D]	B	-	-	907	8	Im	M0 V
0120	Wallasey	C7A7232-8	Fl Lo	{-2}	(611-1)	[7158]	B	S	-	604	7	Im	M0 V
0122	Lichtman	C777567-9	Ni Ag	{+0}	(943+0)	[354D]	CB	S	-	403	9	Im	G0 V
0124	Quadri	A200894-A	Va Ph Na Pi	{+2}	(978-2)	[BA8A]	eDB	-	-	204	7	Im	M5 V
0125	Minano	B3009AB-E	Va Hi Na In	{+5}	(C8B+1)	[DE8F]	fEB	NS	-	804	7	Im	M5 V
0135	Sunflower	C410400-9	Ni	{-1}	(B34+3)	[233A]	B	-	-	213	9	Im	G0 V
0136	Williamson	C000510-A	As Va Ni	{+0}	(C41-2)	[1539]	B	-	-	714	8	Im	M0 V
0139	Twain	CCB6424-6	Fl Ni	{-2}	(933+4)	[7232]	B	-	-	504	8	Im	K5 V
0204	Canup	A7A59B9-D	Fl Hi In	{+5}	(E88+0)	[DE8E]	fEB	NS	-	803	8	Im	K0 V
0205	Cueca	C100543-8	Va Ni	{-2}	(B44+5)	[2369]	B	-	-	505	7	Im	M5 V
0206	Kiranmanne	C9A2487-8	Fl He Ni Px	{-2}	(A34-2)	[1279]	B	S	-	513	8	Im	G0 V
0208	Raywhite	C9A4310-5	Fl Lo	{-2}	(B21-4)	[1147]	B	S	-	505	8	Im	M0 V
0210	Uhlenbeck	C100651-8	Va Ni Na	{-2}	(B51+2)	[6419]	B	-	-	702	8	Im	G5 V
0212	Wenyi	C200110-6	Va Lo	{-2}	(701+3)	[118B]	B	S	-	304	4	Im	w D w D
0213	Lucknow	B100730-D	Va Na Pi	{+2}	(F67+2)	[5939]	DB	-	-	913	6	Im	M5 V
0214	Latham	D200530-4	Va Ni	{-3}	(543+1)	[1211]	B	S	-	405	6	Im	M5 V
0218	Cabot	B200678-D	Va Ni Na	{+2}	(D57-1)	[884F]	B	NS	-	206	7	Im	M5 V
0220	Spock	C768132-7	Lo	{-2}	(701-3)	[1165]	B	-	-	902	8	Im	K0 V
0221	Mishchenko	C668440-9	Ni Pa	{-1}	(C31-1)	[3316]	cB	S	-	903	8	Im	G5 V
0225	Nanyang	A6B7754-C	Fl	{+2}	(E6E-2)	[99A9]	B	-	-	705	8	Im	M0 V
0226	Eymann	B5957BC-B	Ag Pi	{+3}	(667+0)	[4A3C]	DCB	N	-	204	8	Im	K5 V
0236	Shunning	CBB5544-8	Fl Ni	{-2}	(B40+0)	[3379]	B	-	-	213	8	Im	G5 V
0239	Reichwein	C410524-B	Ni	{+0}	(F45-2)	[A598]	B	S	-	504	6	Im	M5 V
0301	Bilbo	C000477-7	As Va Ni	{-2}	(830+1)	[8268]	B	-	-	312	5	Im	M0 V M5 V
0303	Spellmann	C100659-A	Va Ni Na	{+0}	(E52+0)	[864B]	B	-	-	506	7	Im	w D
0310	Sherman	B100642-B	Va Ni Na	{+1}	(F55+2)	[772E]	B	S	-	605	7	Im	M5 V
0317	Karamzin	C10059A-7	Va Ni	{-2}	(844+2)	[6346]	B	-	-	705	6	Im	M5 V
0318	Ireentje	B1006A7-9	Va Ni Na	{+0}	(752-5)	[7629]	B	N	-	702	8	Im	G0 V
0321	Elizabeth	C1006AC-8	Va Ni Na	{-2}	(950+0)	[54AA]	B	-	-	204	8	Im	M0 V
0332	Presov	C100510-8	Va Ni	{-2}	(742-1)	[5337]	B	-	-	203	6	Im	M5 V
0334	Annubis	E200434-6	Va Ni	{-3}	(732+3)	[7178]	B	-	-	610	3	Im	M0 V M5 V
0338	Winokur	C75479C-5	Ag	{+0}	(667-4)	[5784]	CB	S	-	305	8	Im	K5 V
0339	Dixon	C200211-7	Va Lo	{-2}	(B11+3)	[2145]	B	S	-	113	6	Im	M5 V
0405	Justus	C7A6210-6	Fl Lo	{-2}	(811-2)	[2117]	B	-	-	603	8	Im	G5 V
0409	Shiwaku	C1005A6-8	Va Ni	{-2}	(A40+2)	[6319]	B	S	-	304	7	Im	M0 V
0414	Alwine	C200545-9	Va Ni	{-1}	(B42+4)	[5428]	B	-	-	208	8	Im	w D
0420	Lapalma	A99ABDF-C	Wa Hi In	{+4}	(CA7+4)	[DF2C]	fEB	N	A	413	8	Im	G5 V
0423	Noguchi	C7B9357-A	Fl Lo	{+0}	(A21+5)	[133E]	B	-	-	205	7	Im	M0 V
0429	Diplodocus	E100300-9	Va Lo	{-2}	(A21+4)	[119A]	B	-	-	801	4	Im	M0 V M5 V
0430	Higgs	B0007B6-C	As Va Na Pi	{+2}	(B69-3)	[A96C]	DB	-	-	115	8	Im	K0 V
0433	Asporina	E100100-9	Va Lo	{-2}	(C01-3)	[111B]	B	-	-	701	4	Im	M0 V w D
0434	Connor	A000787-C	As Va Na Pi	{+2}	(86E+2)	[795F]	DB	N	-	430	9	Im	M0 III
0436	Achrady	C9A5555-6	Fl Ni	{-2}	(340-2)	[9357]	B	-	-	912	9	Im	F0 V
0440	Kanaimitsuo	C8B6678-8	Fl Ni	{-2}	(E53+0)	[74A5]	B	-	-	704	7	Im	M0 V
0505	Lavrentina	C300672-B	Va Ni Na	{+0}	(954-1)	[16A7]	B	-	-	703	8	Im	K0 V
0506	Adonis	C5B1458-8	Fl He Ni Px	{-2}	(B33-2)	[1239]	B	-	-	103	8	Im	K0 V
0514	Maehara	C200334-9	Va Lo	{-1}	(C21+3)	[4268]	B	S	-	408	8	Im	w D
0521	Bizerte	D5A0462-6	He Ni	{-3}	(732+1)	[7116]	B	S	-	512	10	Im	A0 V
0522	Sakurano	B6A3886-C	Fl Ph	{+2}	(E74-3)	[6A2C]	eB	N	-	804	8	Im	G0 V
0523	Oliver	D100245-7	Va Lo	{-3}	(811-2)	[1184]	B	S	-	510	1	Im	M0 V M5 V
0526	Paolofrisi	D7A258A-5	Fl He Ni	{-3}	(B41+1)	[2291]	B	S	-	512	9	Im	A5 V
0528	Mabaglioni	BBB8650-C	Fl Ni	{+1}	(E55+1)	[272D]	B	S	-	604	8	Im	K5 V
0529	Emp	A200669-C	Va Ni Na	{+1}	(C52-1)	[67AC]	B	N	-	406	8	Im	M0 V
0533	Thelmaruby	ABB5CDD-F	Fl Hi In	{+5}	(FBD+3)	[AF9C]	fEB	NS	A	106	8	Im	G5 V
0534	Bozek	B4A09DC-7	He Hi In	{+2}	(78A-3)	[7B5B]	EB	N	-	213	7	Im	M0 V
0536	Vate	C6A3494-8	Fl Ni	{-2}	(D32+0)	[4257]	B	-	-	603	8	Im	G5 V
0601	Grandprism	C100576-B	Va Ni	{+0}	(B42+5)	[659A]	B	S	-	804	6	Im	M5 V
0605	Joardar	B6A3775-9	Fl	{+1}	(964+1)	[C85D]	B	-	-	315	7	Im	M0 V
0608	Volux	C8B7301-7	Fl Lo	{-2}	(721+1)	[6157]	B	-	-	404	6	Im	M5 V
0609	Michard	B100722-B	Va Na Pi	{+2}	(F69+2)	[996B]	DB	-	-	605	6	Im	M5 V
0610	Limpopo	C100514-B	Va Ni	{+0}	(F43-3)	[453D]	B	S	-	706	8	Im	w D
0616	Katsuji	CCB8677-5	Fl Ni	{-2}	(952+1)	[2486]	B	S	-	600	3	Im	M0 V M5 V
0619	Cruikshank	CAB2320-5	Fl He Lo	{-2}	(821+0)	[11A5]	B	S	-	514	8	Im	G5 V
0620	Makimiya	C200500-B	Va Ni	{+0}	(C46+0)	[7537]	B	-	-	303	6	Im	M5 V
0630	Gunn	D965431-2	Ni Pa	{-3}	(530+5)	[1151]	cB	-	-	304	8	Im	K0 V
0635	Mizugatsuka	CBB0422-9	He Ni	{-1}	(F33+0)	[432B]	B	-	-	412	9	Im	A5 V
0637	Waland	A9A378A-B	Fl	{+2}	(86C-1)	[C97C]	B	-	-	703	8	Im	G0 V
0640	Beatrice	C6B0998-6	He Hi In	{+1}	(888+0)	[6A16]	EB	-	-	812	10	Im	A0 V
0704	Natrees	D200412-5	Va Ni	{-3}	(431+0)	[8145]	B	S	-	204	5	Im	M5 V M5 V
0706	Pavlov	C100552-9	Va Ni	{-1}	(944-2)	[6458]	B	S	-	902	4	Im	M0 V M5 V
0710	Kapur	A100999-F	Va Hi Na In	{+4}	(A87+1)	[BD8F]	fEB	N	-	904	7	Im	M0 V
0712	Baedeker	DBB2479-4	Fl He Ni Px	{-3}	(531-4)	[3164]	B	S	-	203	8	Im	G5 V
0714	Parihar	C100632-C	Va Ni Na	{+0}	(F51+2)	[265F]	B	S	-	705	8	Im	M0 V
0715	Nonamikeiko	B410789-C	Na Pi	{+2}	(765-2)	[798F]	DB	-	-	505	8	Im	M0 V
0719	Raup	C662543-7	Ni Pr	{-2}	(843+4)	[9368]	cB	S	-	104	7	Im	K5 V
0720	Laputa	EBB3453-5	Fl Ni	{-3}	(730-2)	[8112]	B	-	-	902	9	Im	F5 V
0721	Yonalt	C200321-B	Va Lo	{+0}	(C21+2)	[1339]	B	S	-	106	7	Im	w D
0732	Metzger	CDB3777-7	Fl	{-1}	(463+0)	[9689]	B	-	-	803	9	Im	G0 V
0734	Axanar	C7C7446-7	Fl Ni	{-2}	(A30-3)	[3256]	B	S	-	405	7	Im	K5 V
0802	Pinelli	A100688-F	Va Ni Na	{+1}	(954+1)	[A72C]	B	S	-	601	3	Im	M5 V M5 V
0803	Maritimes	C5B2369-7	Fl He Lo Px	{-2}	(721-1)	[1174]	B	S	-	614	6	Im	M5 V
0807	Shulga	D200200-8	Va Lo	{-3}	(F11+0)	[114D]	B	-	-	703	6	Im	M0 V M5 V w D
0808	Yanzhou	DFB2576-6	Fl Ni Px	{-3}	(942+1)	[6226]	B	-	-	713	9	Im	F0 V
0811	Drabble	D200352-7	Va Lo	{-3}	(821-4)	[1178]	B	-	-	214	9	Im	A5 V
0814	Zoe	C200300-A	Va Lo	{+0}	(C21+0)	[53A9]	B	-	-	302	4	Im	K0 V K5 V
0817	Nysa	C200267-9	Va Lo	{-1}	(E11-3)	[1119]	B	-	-	808	8	Im	w D
0820	Hernius	B300669-D	Va Ni Na	{+2}	(654-1)	[3868]	B	NS	-	813	4	Im	M5 V M5 V
0822	Lukasie	C400345-9	Va Lo	{-1}	(E21+2)	[1266]	B	-	-	906	7	Im	w D
0823	Anneres	E69A155-7	Wa Lo	{-3}	(C01+0)	[1123]	B	-	-	405	7	Im	M0 V
0824	Imelda	C9D6379-A	Lo	{+0}	(621-2)	[238B]	B	-	-	403	8	Im	G5 V
0826	Bloemfontein	C100230-9	Va Lo	{-1}	(911+3)	[415A]	B	S	-	102	4	Im	M5 V M5 V
0828	Kowalinski	C5A4634-9	Fl Ni	{-1}	(A54-1)	[6569]	B	-	-	704	7	Im	M0 V
0832	Madhya	B300744-D	Va Na Pi	{+2}	(F6A-5)	[892E]	DB	-	-	805	8	Im	K5 V
0836	Piemonte	A100FFF-F	Va Hi Na In	{+4}	(CED-5)	[FF9F]	fEB	-	A	405	6	Im	M5 V
0840	Yamoussoukro	C100335-8	Va Lo	{-2}	(E21+3)	[1179]	B	-	-	704	6	Im	M5 V
0902	Seanraj	EAB2123-4	Fl He Lo	{-3}	(701+2)	[2134]	B	-	-	504	8	Im	K5 V
0908	Meador	A100753-D	Va Na Pi	{+2}	(86B-1)	[898F]	DB	N	-	105	7	Im	M5 V
0910	Mould	D200244-8	Va Lo	{-3}	(A11-3)	[716A]	B	S	-	800	2	Im	M0 V M5 V
0911	Quprax	A9A7B89-E	Fl Hi In	{+4}	(9AA+2)	[BF2F]	fEB	N	-	402	4	Im	M5 V M5 V
0912	Rivera	D410300-8	Lo	{-3}	(621+0)	[3199]	B	S	-	303	7	Im	K5 V
0918	Dancey	B0007AB-9	As Va Na Pi	{+1}	(368+3)	[B858]	DB	S	-	500	4	Im	K0 V K5 V
0921	Pinney	B1006AB-E	Va Ni Na	{+1}	(A52-1)	[8759]	B	S	-	901	3	Im	M5 V M5 V
0925	Ilsebill	C5A1000-0	Fl He Ba	{-2}	(600+2)	[0000]	B	-	-	013	9	Im	F5 V
0928	Fabiola	A8A3764-E	Fl	{+2}	(E6C-2)	[595C]	B	-	-	305	7	Im	w D
0929	Liberia	A5B1987-F	Fl He Hi In	{+5}	(E8B-1)	[8E4F]	fEB	NS	-	815	7	Im	M0 V
