Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	
0103	Oizumi	AD00896-E	-	Va Ph Na Pi	-	6-99-99	Im	M5 V M5 V	{+2}	(07B-2)	[BA1C]	eDB	5	
0209	Caozhou	E000455-A	-	As Va Ni	-	9-99-99	Im	F0 V F5 V	{-1}	(034+1)	[432A]	B	8	
0210	Nanchang	CD00101-A	-	Va Lo	-	8-99-99	Im	G5 V G5 V	{+0}	(001+1)	[3198]	B	7	
0230	Kosaka	AD00778-D	N	Va Na Pi	-	5-99-99	Im	M0 V M5 V	{+2}	(068-1)	[691F]	DB	6	
0231	Cincinnati	A000774-B	N	As Va Na Pi	-	6-99-99	Im	w D w D	{+2}	(06A-1)	[8927]	DB	6	
0326	Chesapeake	CD00544-6	-	Va Ni	-	4-99-99	Im	A0 V A5 V	{-2}	(A41-1)	[6375]	B	9	
0422	Welland	CD00000-0	-	Va Ba	-	0-99-99	Im	F5 V G5 V	{-2}	(700+1)	[0000]	B	7	
0433	Lakeland	C000203-C	-	As Va Lo	-	7-99-99	Im	M5 V M5 V	{+0}	(011+0)	[1229]	B	5	
0508	Samukawa	BD00999-9	-	Va Hi Na In	-	8-99-99	Im	G5 V M5 V	{+3}	(089-3)	[9C68]	EB	7	
0509	Long'an	ED00200-6	-	Va Lo	-	9-99-99	Im	w D w D	{-3}	(811-2)	[5154]	B	6	
0516	Nagasu	CD00000-0	S	Va Ba	-	0-99-99	Im	K0 V M5 V	{-2}	(200-1)	[0000]	B	7	
0521	Palm Bay	C000224-8	S	As Va Lo	-	7-99-99	Im	M5 V M5 V	{-2}	(011+4)	[1128]	B	5	
0524	Preston	BD007AD-A	-	Va Na Pi	-	8-99-99	Im	M0 V M5 V	{+2}	(069+0)	[A959]	DB	6	
0525	Lin'an	CD00300-9	S	Va Lo	-	7-99-99	Im	M0 V M5 V	{-1}	(021-3)	[3284]	B	6	
0526	Hejiang	AD00740-9	-	Va Na Pi	-	0-99-99	Im	M0 V M5 V	{+1}	(06A+3)	[881C]	DB	6	
0532	Nichinan	CD00234-A	-	Va Lo	-	0-99-99	Im	G0 V M5 V	{+0}	(011+1)	[1258]	B	8	
0613	Togitsu	AD00899-9	N	Va Ph Na Pi	-	7-99-99	Im	K0 V K5 V	{+1}	(077-3)	[894B]	eDB	7	
0620	Agematsu	CD00454-8	-	Va Ni	-	9-99-99	Im	M0 V M5 V	{-2}	(033+1)	[1219]	B	6	
0720	Suzhou	CD00488-9	S	Va Ni	-	1-99-99	Im	M5 V M5 V	{-1}	(035+3)	[3328]	B	5	
0728	Zhangde	BD0077A-9	NS	Va Na Pi	-	4-99-99	Im	M0 V M5 V	{+2}	(068+2)	[B954]	DB	7	
0803	Noheji	BD00642-C	N	Va Ni Na	-	4-99-99	Im	M5 V M5 V	{+1}	(054-4)	[A76A]	B	6	
0818	Nakagawa	CD0056A-7	-	Va Ni	-	4-99-99	Im	M0 V M5 V	{-2}	(C43-2)	[4383]	B	6	
0828	Scunthorpe	BD00766-7	-	Va Na Pi	-	0-99-99	Im	F0 V F5 V	{+0}	(76C+2)	[3758]	DB	8	
0938	Tongzhou	C000542-A	S	As Va Ni	-	9-99-99	Im	M5 V M5 V	{+0}	(045-2)	[557C]	B	5	
