Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0101	Katyusha	D7A8212-4	Fl Lo	{-3}	(911-2)	[1163]	B	-	-	705	7	Im	M5 V
0102	Kosmodem	A9B08BA-E	He Ph	{+2}	(F7C+2)	[9A4F]	eB	-	-	906	7	Im	w D
0106	Kazan	C100200-D	Va Lo	{+0}	(411-5)	[324E]	B	S	-	900	2	Im	M5 V M5 V
0108	Watt	B7A18AD-C	Fl He Ph	{+2}	(A77+5)	[BA6B]	eB	-	-	100	4	Im	K0 V w D
0109	Korolenko	C300588-9	Va Ni	{-1}	(941+1)	[746D]	B	-	-	611	4	Im	M0 V M5 V
0110	Delos	E663322-7	Lo	{-3}	(721-1)	[2166]	B	-	-	704	6	Im	M5 V
0111	Wolfgang	D410000-0	Ba	{-3}	(200+0)	[0000]	B	-	-	005	8	Im	M0 V
0112	Whalen	A7B4864-C	Fl Ph	{+2}	(F7B+1)	[8A5F]	eB	-	-	314	8	Im	K0 V
0114	Yingling	CBB0401-8	He Ni	{-2}	(733-1)	[1239]	B	-	-	510	6	Im	F5 V K5 V
0117	Ocastron	C100443-A	Va Ni	{+0}	(535+0)	[443B]	B	-	-	403	6	Im	M5 V
0118	Akka	C100579-C	Va Ni	{+0}	(D45+3)	[751F]	B	S	-	604	7	Im	M0 V
0119	Starr	D742472-7	He Ni Po	{-3}	(630-2)	[6186]	B	S	-	232	9	Im	F0 V
0125	Uradowan	C100679-C	Va Ni Na	{+0}	(751-2)	[3658]	B	S	-	104	6	Im	M5 V
0126	Akiota	C10058A-B	Va Ni	{+0}	(A46+5)	[753D]	B	-	-	804	7	Im	M0 V
0127	Lors	B667645-9	Ga Ni Ag Ri	{+2}	(A54+2)	[8858]	CB	-	-	904	8	Im	K5 V
0128	Blok	E100341-6	Va Lo	{-3}	(821+3)	[5133]	B	-	-	504	7	Im	M5 V
0130	Donalu	E200110-8	Va Lo	{-3}	(C01-3)	[219A]	B	-	-	405	7	Im	M0 V
0134	Plotkin	D7A7465-3	Fl Ni	{-3}	(830+0)	[2145]	B	S	-	802	8	Im	K0 V
0135	Neugebauer	C100474-8	Va Ni	{-2}	(833-2)	[9234]	B	-	-	304	6	Im	M5 V
0136	Geyang	E200133-9	Va Lo	{-2}	(F01-3)	[3139]	B	-	-	708	8	Im	w D
0137	Comas Sola	B000678-B	As Va Ni Na	{+1}	(953-2)	[876A]	B	-	-	214	9	Im	F0 V
0138	Samara	C5A0211-5	He Lo	{-2}	(211-5)	[1156]	B	-	-	206	7	Im	w D
0201	Mourao	C000477-7	As Va Ni	{-2}	(833+3)	[1236]	B	-	-	623	8	Im	G5 V
0206	Iva	C200654-A	Va Ni Na	{+0}	(B51-4)	[463B]	B	S	-	308	8	Im	w D
0207	Haebaru	B9746A5-7	Ni Ag	{+0}	(553-2)	[9667]	CB	-	-	800	3	Im	G0 V G5 V
0208	Monikohl	B1006BB-E	Va Ni Na	{+2}	(A57+1)	[583F]	B	NS	-	804	6	Im	M5 V
0213	Iijima	C100566-C	Va Ni	{+0}	(D45+1)	[756E]	B	S	-	304	7	Im	w D
0214	Grechko	A000877-C	As Va Ph Na Pi	{+2}	(B78-1)	[4A5B]	eDB	N	-	823	8	Im	G5 V
0217	Gagnereau	A6B3633-A	Fl Ni	{+1}	(E57+3)	[572A]	B	N	-	314	7	Im	M5 V
0218	Amaravella	D200567-6	Va Ni	{-3}	(641+2)	[2215]	B	S	-	807	8	Im	w D
0221	Fenyi	C6A8312-9	Fl Lo	{-1}	(A21-2)	[528A]	B	-	-	504	7	Im	M0 V
0223	Mori	X100203-5	Va Lo	{-3}	(711+2)	[2181]	B	-	R	906	8	Im	M0 V
0224	Madagascar	EAB6100-7	Fl Lo	{-3}	(401-3)	[3167]	B	-	-	424	8	Im	M0 V
0226	Galbraith	C5A7134-6	Fl Lo	{-2}	(701+0)	[5142]	B	S	-	405	6	Im	M5 V
0228	Schawlow	C200100-A	Va Lo	{+0}	(F01+1)	[114E]	B	S	-	607	7	Im	w D
0230	Asclepius	CAB0432-6	He Ni	{-2}	(533-1)	[4225]	B	S	-	303	9	Im	A5 V
0231	Metz	A20068B-E	Va Ni Na	{+1}	(F56+3)	[375D]	B	N	-	307	7	Im	w D
0232	Biwako	D200573-6	Va Ni	{-3}	(742+1)	[3228]	B	S	-	505	8	Im	K0 V
0234	Benglass	E7A8102-7	Fl Lo	{-3}	(401+1)	[6177]	B	-	-	204	6	Im	M5 V
0236	Severina	C200422-7	Va Ni	{-2}	(533-2)	[3249]	B	S	-	603	9	Im	F0 V
0237	Bomans	B873668-8	Ni	{-1}	(D52-1)	[8553]	B	N	-	804	8	Im	G5 V
0239	Mizrahi	C9A8468-7	Fl Ni	{-2}	(833+1)	[1275]	B	-	-	505	7	Im	M0 V
0302	Dunkerley	B200788-D	Va Na Pi	{+2}	(C68-3)	[391F]	DB	-	-	514	7	Im	M5 V
0303	Arrhenius	ACB1989-F	Fl He Hi In	{+4}	(B8B+2)	[BD1F]	fEB	N	-	404	8	Im	G5 V
0304	Ragazza	A7A6622-B	Fl Ni	{+1}	(B57-2)	[377C]	B	-	-	705	7	Im	M5 V
0308	Mazzucato	C7A4521-8	Fl Ni	{-2}	(E40+2)	[534B]	B	-	-	513	7	Im	K5 V
0313	Theoklymenos	E000334-5	As Va Lo	{-3}	(321+0)	[31A1]	B	-	-	420	6	Im	K0 V M5 V
0317	Staude	C5A0412-6	He Ni	{-2}	(730-4)	[7277]	B	S	-	403	4	Im	w D w D w D
0318	Qingyang	E000233-6	As Va Lo	{-3}	(711+0)	[1147]	B	-	-	723	9	Im	F5 V
0319	Sessyu	B9A5985-A	Fl Hi In	{+4}	(E8F+5)	[4D49]	fEB	N	-	814	6	Im	M5 V
0320	Praxos	C9C4248-7	Fl Lo	{-2}	(711-2)	[11AB]	B	S	-	804	8	Im	K0 V
0321	Pompano	E300345-8	Va Lo	{-3}	(D21-1)	[114A]	B	-	-	205	7	Im	M5 V
0324	Pompeja	E100466-6	Va Ni	{-3}	(530+2)	[6112]	B	-	-	202	4	Im	M5 V w D
0328	Imran	E200334-4	Va Lo	{-3}	(421+4)	[5126]	B	-	-	503	6	Im	M5 V
0332	Quanzhou	C200520-B	Va Ni	{+0}	(E43+4)	[957C]	B	-	-	308	8	Im	w D
0335	Sor	A5A08DC-9	He Ph	{+1}	(C79+1)	[697C]	eB	N	-	104	7	Im	M0 V
0337	Ramanujan	C8B5347-5	Fl Lo Px	{-2}	(821-4)	[1182]	B	S	-	705	8	Im	M0 V
0402	Johannessen	BBB5634-A	Fl Ni	{+1}	(F55-3)	[5789]	B	-	-	604	8	Im	K5 V
0403	Cassiano	A2006B7-E	Va Ni Na	{+1}	(557+1)	[773E]	B	S	-	601	9	Im	F0 V
0405	Vartiovuori	E5A5678-8	Fl Ni Px	{-3}	(B53+1)	[935D]	B	-	-	406	8	Im	M0 V
