Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0111	Elena	C100202-C	Va Lo	{+0}	(A11-2)	[128A]	B	-	-	204	7	Im	M0 V
0125	Hazel	D100105-A	Va Lo	{-1}	(A01+4)	[518B]	B	S	-	404	8	Im	M0 V
0127	Estens	C977475-7	Ni Pa	{-2}	(B32-1)	[5278]	cB	S	-	605	8	Im	K0 V
0135	Wickram	C8B37AB-9	Fl	{+0}	(C67+3)	[9765]	B	S	-	603	8	Im	K0 V
0139	Francisc	D200353-8	Va Lo	{-3}	(221+0)	[5118]	B	S	-	300	2	Im	M5 V M5 V
0216	Comagrave	B100689-B	Va Ni Na	{+1}	(D56+0)	[676B]	B	N	-	703	6	Im	M5 V
0218	Messner	C100323-8	Va Lo	{-2}	(F21-3)	[415A]	B	S	-	604	6	Im	M5 V
0222	Tarhuna	A30087C-F	Va Ph Na Pi	{+2}	(A7A+0)	[4A4D]	eDB	-	-	101	4	Im	K5 V M5 V
0227	Akiko	C200437-6	Va Ni	{-2}	(A32-1)	[8283]	B	-	-	503	7	Im	M0 V
0230	Hawkins	A300877-F	Va Ph Na Pi	{+2}	(77A+0)	[8A5F]	eDB	-	-	212	6	Im	K0 V w D
0232	Takaharu	A8A2863-A	Fl He Ph	{+2}	(C7B-1)	[9A79]	eB	S	-	202	8	Im	K0 V
0236	Rochester	C964113-5	Lo	{-2}	(901+1)	[3156]	B	-	-	514	8	Im	G0 V
0238	Hideo	C8B6510-6	Fl Ni	{-2}	(344-2)	[5353]	B	-	-	601	8	Im	G0 V
0331	Mendillo	C100000-0	Va Ba	{-2}	(700+2)	[0000]	B	S	-	005	8	Im	K5 V
0337	Protos	C000755-C	As Va Na Pi	{+1}	(B67+0)	[985F]	DB	-	-	214	6	Im	M5 V
0403	Sriner	E200341-9	Va Lo	{-2}	(F21+0)	[3138]	B	-	-	804	8	Im	K0 V
0406	Jiading	B300673-A	Va Ni Na	{+1}	(752+1)	[7759]	B	N	-	904	7	Im	M0 V
0412	Wabi-Sabi	B0008AB-A	As Va Ph Na Pi	{+3}	(679-2)	[7B4E]	eDB	NS	-	910	4	Im	F5 V K5 V
0419	Sattler	A100899-E	Va Ph Na Pi	{+2}	(67A-3)	[5A3A]	eDB	S	-	504	4	Im	w D w D
0425	Aiguillon	C9D1448-5	Ni	{-2}	(933+3)	[4215]	B	-	-	303	8	Im	G5 V
0432	Angelina	B1008BF-E	Va Ph Na Pi	{+2}	(F76+2)	[AA3F]	eDB	-	A	605	7	Im	M0 V
0434	Vidphananu	A100654-F	Va Ni Na	{+2}	(F55+0)	[285F]	B	NS	-	415	8	Im	M0 V
0436	Sunjiadong	C300575-9	Va Ni	{-1}	(D40+3)	[241A]	B	-	-	213	10	Im	A0 V
0438	Tongchuan	C300477-A	Va Ni	{+0}	(B36+0)	[245F]	B	S	-	502	4	Im	M5 V M5 V
0440	Camelbeeck	B100685-9	Va Ni Na	{+0}	(E53+0)	[861C]	B	N	-	813	5	Im	M5 V M5 V
0505	Van Vogt	E100567-9	Va Ni	{-2}	(F40+0)	[539D]	B	-	-	823	7	Im	M0 V
0509	Pujol	E200242-5	Va Lo	{-3}	(811+1)	[1165]	B	-	-	405	8	Im	M0 V
0521	Kollaa	E100200-6	Va Lo	{-3}	(211+2)	[117A]	B	-	-	906	7	Im	M5 V
0523	Chimikeppuko	C000545-8	As Va Ni	{-2}	(E41-4)	[4347]	B	-	-	824	7	Im	M0 V
0525	Heiskanen	C410234-7	Lo	{-2}	(411-2)	[5186]	B	-	-	103	9	Im	F5 V
0536	Hialeah	C997776-6	Ag Pi	{+0}	(A6B-2)	[A769]	DCB	-	-	122	9	Im	F0 V
0604	Terrel	C000222-8	As Va Lo	{-2}	(B11-4)	[5156]	B	S	-	903	5	Im	M5 V M5 V
0608	Vernazza	C200536-B	Va Ni	{+0}	(F44+2)	[356E]	B	-	-	207	7	Im	w D
0612	Vilardi	C100210-B	Va Lo	{+0}	(A11+1)	[227A]	B	-	-	700	3	Im	F0 V K5 V
0616	Fukuchan	C100430-9	Va Ni	{-1}	(632-3)	[4385]	B	S	-	202	6	Im	M5 V
0623	Liloketai	E100000-0	Va Ba	{-3}	(A00+1)	[0000]	B	-	-	004	6	Im	M5 V
0628	Macek	E100411-7	Va Ni	{-3}	(330-2)	[2149]	B	-	-	705	8	Im	M0 V
0631	Madler	CFB6124-A	Fl Lo	{+0}	(A01+2)	[112A]	B	-	-	903	8	Im	G5 V
0636	Merman	E762100-4	Lo	{-3}	(501-4)	[1125]	B	-	-	903	8	Im	G5 V
0707	Kihara	D7A6100-5	Fl Lo	{-3}	(A01+0)	[1196]	B	-	-	204	7	Im	M0 V
0720	Asam	E5B4105-6	Fl Lo	{-3}	(A01+0)	[1159]	B	-	-	505	7	Im	M5 V
