


# example-66
# 0,0

# Name:example-66


# Milieu: 

# Credits:

# Source:   

# Subsector A: A
# Subsector B: B
# Subsector C: C
# Subsector D: D
# Subsector E: E
# Subsector F: F
# Subsector G: G
# Subsector H: H
# Subsector I: I
# Subsector J: J
# Subsector K: K
# Subsector L: L
# Subsector M: M
# Subsector N: N
# Subsector O: O
# Subsector P: P







Hex  Name                 UWP       Remarks                   {Ix}   (Ex)    [Cx]   N    B  Z PBG W  A    Stellar        
---- -------------------- --------- ------------------------- ------ ------- ------ ---- -- - --- -- ---- ---------------
0101 Ma bar               A6B4730-A Fl                        {+2}   (569-4) [694D] B    -  - 101 4  Im   M5 V M5 V      
0102 Britten              B7B7865-B Fl Ph                     {+2}   (87D-2) [5A57] eB   -  - 806 8  Im   K0 V           
0103 Inaciolandia         A7B1968-E Fl He Hi In               {+4}   (B89+0) [6D8F] fEB  N  - 613 7  Im   K5 V           
0104 Castelvetro di Mod   B40099A-B Va Hi Na In               {+4}   (A8B+1) [5D36] fEB  N  - 303 6  Im   M5 V           
0106 Tabapua              C200333-A Va Lo                     {+0}   (921+4) [3369] B    -  - 214 7  Im   M0 V           
0108 Monmouth             C100553-C Va Ni                     {+0}   (B46+4) [254D] B    -  - 414 7  Im   K5 V           
0109 Kerekegyhaza         CAA7455-7 Fl Ni                     {-2}   (A31-1) [6279] B    S  - 704 7  Im   M0 V           
0110 Sashakrot            B10067B-D Va Ni Na                  {+1}   (E52-2) [674F] B    S  - 115 7  Im   M5 V           
0120 Marcolandia          A200978-D Va Hi Na In               {+4}   (B89+0) [9D6A] fEB  N  - 905 8  Im   K5 V           
0121 Seminole             C7B7369-7 Fl Lo                     {-2}   (321+2) [1116] B    S  - 903 7  Im   M0 V           
0127 Santa Clarita        C6A5586-7 Fl Ni Px                  {-2}   (741+0) [1316] B    S  - 401 8  Im   G5 V           
0129 Vlijmen              E300247-4 Va Lo                     {-3}   (611-2) [2194] B    -  - 507 8  Im   w D            
0134 Limeil-Brevannes     B200759-E Va Na Pi                  {+2}   (F67+0) [B94F] DB   N  - 625 8  Im   M0 V           
0135 Mori                 C8B28CF-A Fl He Ph                  {+1}   (C7A-4) [B945] eB   S  A 104 8  Im   K5 V           
0136  Ajlun               C20037C-7 Va Lo                     {-2}   (521-2) [1189] B    -  - 904 6  Im   M5 V           
0139 Werel                D7B1526-5 Fl He Ni Px               {-3}   (640-2) [5285] B    S  - 813 8  Im   G0 V           
0140 Cabot                A200646-E Va Ni Na                  {+1}   (552+1) [378F] B    -  - 103 6  Im   M5 V           
0201 Guntramsdorf         E975100-4 Lo                        {-3}   (701+4) [1127] B    -  - 613 8  Im   G0 V           
0203 Deira                B200775-D Va Na Pi                  {+2}   (96C-1) [497E] DB   S  - 804 7  Im   M0 V           
0207 Alpignano            D300566-8 Va Ni                     {-3}   (D40-1) [12A7] B    -  - 904 7  Im   M5 V           
0209 Narvik               AEB39A6-A Fl Hi In                  {+4}   (D8E-1) [6D5F] fEB  -  - 213 8  Im   K0 V           
0216 Akimotohiro          CDB5454-A Fl Ni                     {+0}   (931-2) [245A] B    -  - 301 9  Im   F0 V           
