Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0101	Archon	A6A4730-A	Fl	{+2}	(569-4)	[694D]	B	-	-	101	4	Im	M5 V M5 V
0102	Arnolda	B200865-C	Va Ph Na Pi	{+2}	(87D-2)	[5A58]	eDB	-	-	806	8	Im	K0 V
0103	Pholus	D200512-7	Va Ni	{-3}	(C43+4)	[4268]	B	-	-	513	7	Im	K5 V
0104	Zerlina	C6A6400-9	Fl Ni	{-1}	(535-2)	[138C]	B	-	-	203	6	Im	M5 V
0106	Caliumi	C000334-8	As Va Lo	{-2}	(E21+0)	[117B]	B	-	-	914	7	Im	M0 V
0108	Koopman	B1006A7-C	Va Ni Na	{+1}	(B55-1)	[671F]	B	-	-	514	7	Im	K5 V
0109	Iguassu	B10089B-E	Va Ph Na Pi	{+2}	(D77-2)	[AA4E]	eDB	N	-	204	7	Im	M0 V
0110	Houghten	C100657-D	Va Ni Na	{+0}	(F55+0)	[363D]	B	-	-	615	7	Im	M5 V
0120	Rishirifuji	B8A3631-B	Fl Ni	{+1}	(952+0)	[2726]	B	-	-	505	8	Im	K5 V
0121	Betsill	A9A4A9A-D	Fl Hi In	{+5}	(79A-2)	[AF7B]	fEB	NS	-	103	7	Im	M0 V
0127	Gowland	CAB3321-6	Fl Lo	{-2}	(521-1)	[5197]	B	S	-	501	8	Im	G5 V
0129	Schupmann	C300124-B	Va Lo	{+0}	(D01+3)	[115A]	B	-	-	707	8	Im	w D
0134	Vaasa	E000156-8	As Va Lo	{-3}	(C01+5)	[21A4]	B	-	-	825	8	Im	M0 V
0135	Gerbefremov	B6A39C7-8	Fl Hi In	{+2}	(B89+3)	[BB46]	EB	-	-	904	8	Im	K5 V
0136	Kiladze	B2008BD-9	Va Ph Na Pi	{+2}	(B7B-2)	[9A7D]	eDB	NS	-	904	6	Im	M5 V
0139	Nolde	C6A1558-7	Fl He Ni Px	{-2}	(A42-2)	[335C]	B	S	-	613	8	Im	G0 V
0140	Santo	C6B6373-7	Fl Lo	{-2}	(621+0)	[4185]	B	-	-	503	6	Im	M5 V
0201	Ekrutt	C975401-9	Ni Pa	{-1}	(B33+2)	[7349]	cB	-	-	313	8	Im	G0 V
0203	Gann	C8A0302-A	He Lo	{+0}	(C21+0)	[538D]	B	S	-	704	7	Im	M0 V
0207	Braslos	CCB2843-6	Fl He Ph	{-1}	(C75+4)	[C741]	eB	-	-	204	7	Im	M5 V
0209	Yagudina	A6A2899-9	Fl He Ph	{+1}	(B7D-1)	[4987]	eB	-	-	713	8	Im	K0 V
0216	Seki	D410344-6	Lo	{-3}	(721+1)	[1157]	B	S	-	401	9	Im	F0 V
0218	Bogard	A100777-E	Va Na Pi	{+2}	(D66-3)	[A92F]	DB	-	-	715	7	Im	M5 V
0219	Dinotina	B100732-B	Va Na Pi	{+2}	(766-1)	[795A]	DB	N	-	804	6	Im	M5 V
0221	Amaldi	C200575-9	Va Ni	{-1}	(F45+1)	[547C]	B	-	-	106	8	Im	M0 V
0237	Toyako	D100449-A	Va Ni	{-1}	(D31-4)	[1347]	B	-	-	104	7	Im	M5 V
0302	Carletonville	D100346-9	Va Lo	{-2}	(B21-2)	[414A]	B	-	-	713	6	Im	K5 V M5 V w D
0307	Pyatnitskij	C200595-6	Va Ni	{-2}	(640+3)	[431B]	B	S	-	603	7	Im	K5 V
0310	Matsushima	C100422-B	Va Ni	{+0}	(F32+1)	[745B]	B	-	-	314	8	Im	M0 V
0313	Urras	C410216-9	Lo	{-1}	(811+0)	[11AC]	B	-	-	412	8	Im	G5 V
0314	Sundaresh	B4107BF-D	Na Pi	{+2}	(B6A-1)	[697A]	DB	S	A	410	4	Im	K5 V M5 V
0315	Minerva	A685646-A	Ga Ni Ag Ri	{+3}	(855+4)	[8969]	CB	-	-	400	5	Im	F5 V M5 V
0324	Heimdal	C6A2556-6	Fl He Ni Px	{-2}	(540+1)	[3369]	B	-	-	105	7	Im	M5 V
0325	Heyler	EFB3414-7	Fl Ni	{-3}	(A30+1)	[8177]	B	-	-	813	8	Im	K5 V
0327	Megmoulding	AFB0745-A		{+2}	(868+3)	[A937]	B	N	-	303	8	Im	K0 V
0335	Bergvall	E100446-9	Va Ni	{-2}	(B30+0)	[6239]	B	-	-	502	4	Im	M5 V M5 V
0406	Rohit	CCB2430-9	Fl He Ni	{-1}	(E33-2)	[5346]	B	S	-	603	8	Im	K0 V
0411	Zanotta	D6B4310-3	Fl Lo	{-3}	(321-1)	[3151]	B	S	-	815	7	Im	M5 V
0418	Kiek	C6B9522-7	Fl Ni	{-2}	(344-1)	[633B]	B	S	-	303	7	Im	M0 V
0421	Bahir Dar	ACB3998-E	Fl Hi In	{+4}	(58C-1)	[9D4C]	fEB	-	-	303	8	Im	K0 V
0430	Gonzales	C6A6720-9	Fl	{+0}	(B67+1)	[8776]	B	-	-	300	5	Im	G0 V M5 V
0431	Sue	C000532-A	As Va Ni	{+0}	(641+4)	[35A7]	B	S	-	600	3	Im	M0 V w D
0433	Aconcagua	C100546-8	Va Ni	{-2}	(F40+0)	[331A]	B	S	-	705	8	Im	M0 V
0437	Burdigala	B200657-D	Va Ni Na	{+1}	(B52+1)	[976B]	B	N	-	306	7	Im	M0 V
0440	Arbesfeld	C6A6440-9	Fl Ni	{-1}	(D35-4)	[538C]	B	-	-	714	7	Im	M0 V
