Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	
0102	Misaki	A100730-C	-	Va Na Pi	-	005	Im	M5 V	{+2}	(969-4)	[694F]	DB	7	
0117	Murrieta	B100865-D	-	Va Ph Na Pi	-	704	Im	M0 V	{+2}	(67D-2)	[5A59]	eDB	7	
0119	Yuanzhou	A000968-F	N	As Va Hi Na In	-	523	Im	G0 V	{+4}	(C89+0)	[6D8F]	fEB	9	
0120	Dongping	B4A299A-B	N	Fl He Hi In	-	201	Im	M5 V M5 V	{+4}	(88B+1)	[5D36]	fEB	3	
0125	Haebaru	C100333-B	-	Va Lo	-	103	Im	M5 V	{+0}	(721+4)	[336A]	B	6	
0129	Yoshika	C300553-B	-	Va Ni	-	304	Im	M5 V	{+0}	(A46+4)	[254C]	B	6	
0131	Dihua	C895455-6	S	Ni Pa	-	604	Im	K0 V	{-2}	(A31-1)	[6278]	cB	8	
0132	Grande Prairie	B5A667B-B	S	Fl Ni	-	001	Im	M0 V M5 V	{+1}	(952-2)	[674D]	B	4	
0137	Zhaoqing	B6B19A9-A	NS	Fl He Hi In	-	905	Im	K5 V	{+5}	(A8C+0)	[AE28]	fEB	8	
0221	Yoro	CCB5220-A	-	Fl Lo	-	003	Im	M0 V	{+0}	(711-4)	[123A]	B	7	
0222	Macclesfield	D000211-5	S	As Va Lo	-	414	Im	F5 V	{-3}	(211+0)	[1123]	B	9	
0223	Kawanishi	C6A4365-8	S	Fl Lo	-	312	Im	G0 V	{-2}	(821-3)	[616A]	B	9	
0224	Jiaxing	C10048B-B	S	Va Ni	-	604	Im	K5 V	{+0}	(935+0)	[448C]	B	8	
0228	Yuezhou	C2006AC-B	S	Va Ni Na	-	506	Im	M5 V	{+0}	(F53+2)	[268A]	B	7	
0229	Tacoma	C4AA36A-D	S	Fl Lo	-	405	Im	M5 V	{+0}	(D21-2)	[131F]	B	6	
0230	Kiso	C000423-8	-	As Va Ni	-	714	Im	M5 V	{-2}	(934+1)	[3216]	B	6	
0237	Cheli	B6A48B9-C	S	Fl Ph	-	215	Im	M0 V	{+2}	(E74-1)	[6A5D]	eB	8	
0306	Shime	D300543-5	S	Va Ni	-	315	Im	M5 V	{-3}	(540+3)	[8216]	B	7	
0323	Yurihama	C6B5543-8	S	Fl Ni	-	704	Im	K0 V	{-2}	(E40+3)	[432A]	B	8	
0332	Shitara	D2006BC-9	S	Va Ni Na	-	102	Im	w D w D	{-2}	(854-2)	[541E]	B	3	
0340	Yura	C410562-6	-	Ni	-	904	Im	G0 V	{-2}	(942+1)	[5329]	B	9	
0417	Chenzhou	C200556-8	S	Va Ni	-	902	Im	M0 V M5 V	{-2}	(B41-1)	[3338]	B	4	
0424	Watari	E000435-7	-	As Va Ni	-	615	Im	M5 V	{-3}	(B30+0)	[7123]	B	6	
0425	Bellevue	B6D5855-B	-	Ph	-	103	Im	G5 V	{+2}	(875-1)	[6A1A]	eB	8	
0431	Rochester	C6B6553-8	-	Fl Ni	-	104	Im	M5 V	{-2}	(D41+1)	[535B]	B	6	
0438	Oto	C0006AA-7	S	As Va Ni Na	-	024	Im	M0 V	{-2}	(654+0)	[8477]	B	7	
0513	Miyako	A100CDF-C	NS	Va Hi Na In	A	205	Im	M5 V	{+5}	(DBA+1)	[EF98]	fEB	7	
0514	Xingyi	C6B8598-7	S	Fl Ni	-	806	Im	M0 V	{-2}	(843-2)	[5398]	B	8	
0524	Shunde	C8A1430-A	-	Fl He Ni	-	104	Im	K0 V	{+0}	(B32-1)	[2436]	B	8	
0530	Wadomari	E200000-0	-	Va Ba	-	003	Im	M0 V	{-3}	(400+1)	[0000]	B	7	
0534	Laizhou	C20058D-A	-	Va Ni	-	904	Im	M0 V	{+0}	(945+1)	[7539]	B	7	
0539	Pingyang	E6A5000-0	-	Fl Ba	-	002	Im	G0 V	{-3}	(800-3)	[0000]	B	8	
0604	Nuneaton	C100763-A	S	Va Na Pi	-	403	Im	M0 V	{+1}	(D68-4)	[A89A]	DB	7	
0605	Godo	D100231-7	-	Va Lo	-	203	Im	M5 V	{-3}	(811+1)	[3157]	B	6	
0608	Okushiri	E000333-A	-	As Va Lo	-	824	Im	M5 V	{-1}	(C21-3)	[4218]	B	7	
0611	Ainan	A7B089D-E	N	He Ph	-	605	Im	M0 V	{+2}	(E7E+5)	[9A4F]	eB	7	
0621	Provo	B766885-8	N	Ga Ph Pa Ri	-	605	Im	M0 V	{+1}	(A7A+1)	[8973]	eCcB	7	
0633	Gojome	D74A122-7	S	Wa Lo	-	504	Im	M0 V	{-3}	(801+1)	[4146]	B	7	
0634	Harrogate	D5A0366-5	S	He Lo	-	605	Im	M5 V	{-3}	(821+0)	[3112]	B	7	
0640	Oldham	C000599-7	-	As Va Ni	-	214	Im	M5 V	{-2}	(744+5)	[4386]	B	6	
0711	Tucson	C667536-4	-	Ga Ni Ag Pr	-	301	Im	A0 V	{-1}	(C43-5)	[7411]	CcB	10	
0721	Taiji	A410955-E	-	Hi Na In	-	104	Im	M5 V	{+4}	(B88+0)	[8D5A]	fEB	6	
0729	Smethwick	D7B147B-3	S	Fl He Ni	-	703	Im	w D	{-3}	(630+2)	[3123]	B	4	
0731	Guilin	A11168B-C	N	Ni Na	-	604	Im	w D	{+1}	(856-1)	[7789]	B	4	
0806	Mikawa	D510465-3	-	Ni	-	814	Im	M5 V	{-3}	(530+3)	[3147]	B	7	
0807	Tingzhou	X000100-3	-	As Va Lo	R	210	Im	M0 V w D	{-3}	(801+0)	[5163]	B	2	
0810	Shichigahama	D7A8122-8	S	Fl Lo	-	414	Im	K5 V	{-3}	(D01+0)	[6186]	B	8	
0811	Joliet	C000576-9	S	As Va Ni	-	314	Im	M0 V	{-1}	(F40+3)	[A42A]	B	7	
0815	Pickering	C111554-B	-	Ni	-	404	Im	w D	{+0}	(B41-2)	[659E]	B	4	
0817	St. Catharines	A1118CC-D	-	Ph Na Pi	-	104	Im	w D	{+2}	(C78-1)	[5A6F]	eDB	4	
