Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	
0110	B9B3663-8	B9B3663-8	-	Fl Ni	-	102	Im	G0 V	{-1}	(753+2)	[5568]	B	8	
0115	C7B9356-7	C7B9356-7	-	Fl Lo	-	500	Im	K0 V K5 V	{-2}	(821+5)	[5197]	B	2	
0121	A5A08BA-A	A5A08BA-A	N	He Ph	A	403	Im	M0 V M5 V	{+2}	(875-4)	[DA89]	eB	6	
0123	C200000-0	C200000-0	-	Va Ba	-	005	Im	M0 V	{-2}	(800+2)	[0000]	B	7	
0130	C200557-7	C200557-7	-	Va Ni	-	000	Im	K5 V M5 V	{-2}	(741-5)	[934A]	B	3	
0132	CEB1212-5	CEB1212-5	S	Fl Lo	-	704	Im	M0 V	{-2}	(311-3)	[4167]	B	8	
0133	C000410-9	C000410-9	S	As Va Ni	-	915	Im	M0 V	{-1}	(B32-1)	[4359]	B	8	
0207	B100776-E	B100776-E	S	Va Na Pi	-	913	Im	M0 V	{+2}	(B6A+1)	[897E]	DB	7	
0210	C5A6575-9	C5A6575-9	-	Fl Ni	-	804	Im	M0 V	{-1}	(C43-2)	[7458]	B	7	
0213	C30068B-B	C30068B-B	S	Va Ni Na	-	605	Im	M5 V	{+0}	(E56+2)	[667C]	B	7	
0216	E8A7158-9	E8A7158-9	-	Fl Lo	-	116	Im	M0 V	{-2}	(E01+2)	[4117]	B	8	
0219	C7A4551-B	C7A4551-B	-	Fl Ni	-	303	Im	G0 V	{+0}	(941+2)	[556F]	B	8	
0221	A5A6762-9	A5A6762-9	N	Fl	-	013	Im	F5 V	{+1}	(C66-1)	[2819]	B	9	
0233	C100565-C	C100565-C	S	Va Ni	-	603	Im	M5 V	{+0}	(D43+5)	[556B]	B	6	
0236	D5A436B-4	D5A436B-4	-	Fl Lo	-	714	Im	M0 V	{-3}	(921-1)	[3175]	B	7	
0239	C410421-A	C410421-A	-	Ni	-	004	Im	M5 V	{+0}	(F35+1)	[546C]	B	6	
0302	A1007CA-F	A1007CA-F	-	Va Na Pi	R	200	Im	M5 V M5 V	{+2}	(469+0)	[795D]	DB	2	
0304	A8A56BC-9	A8A56BC-9	-	Fl Ni	R	204	Im	M0 V	{+0}	(853+2)	[8659]	B	7	
0306	C200510-A	C200510-A	-	Va Ni	-	602	Im	w D	{+0}	(945+4)	[555B]	B	4	
0325	A200668-F	A200668-F	-	Va Ni Na	-	305	Im	M5 V	{+1}	(C57+2)	[875F]	B	6	
0334	X9A6110-3	X9A6110-3	-	Fl Lo	R	304	Im	G5 V	{-3}	(401+0)	[1151]	B	8	
0335	A100954-F	A100954-F	-	Va Hi Na In	-	705	Im	M0 V	{+4}	(E87-4)	[6D2F]	fEB	7	
0337	CA79442-8	CA79442-8	S	Ni	-	104	Im	K0 V	{-2}	(D33-3)	[3259]	B	8	
0423	C410733-6	C410733-6	-	Na Pi	-	112	Im	M0 V	{-1}	(767+2)	[C665]	DB	7	
0426	B5A7732-7	B5A7732-7	-	Fl	-	804	Im	M0 V	{+0}	(96A+1)	[8774]	B	7	
0429	B1009ED-E	B1009ED-E	NS	Va Hi Na In	R	306	Im	M0 V	{+5}	(F87-3)	[EE6F]	fEB	8	
0430	A200652-B	A200652-B	-	Va Ni Na	-	704	Im	M5 V	{+1}	(952-1)	[9769]	B	7	
0432	D300200-9	D300200-9	-	Va Lo	-	002	Im	G5 V	{-2}	(C11+5)	[5189]	B	8	
0437	A2008B9-A	A2008B9-A	-	Va Ph Na Pi	A	205	Im	M0 V	{+2}	(F76+1)	[6A9A]	eDB	7	
0504	C5A0220-7	C5A0220-7	-	He Lo	-	403	Im	K0 V	{-2}	(611-1)	[1145]	B	8	
0512	C6B6775-5	C6B6775-5	-	Fl	-	002	Im	G0 V	{-1}	(469+1)	[7655]	B	8	
0518	C100348-8	C100348-8	-	Va Lo	-	203	Im	M0 V M5 V	{-2}	(B21+0)	[511A]	B	6	
0522	C876253-6	C876253-6	S	Lo	-	605	Im	K0 V	{-2}	(811+3)	[5145]	B	8	
0527	B41087B-B	B41087B-B	NS	Ph Na Pi	-	501	Im	M0 V M5 V	{+3}	(57A-2)	[5B7C]	eDB	4	
0532	B5A79BC-9	B5A79BC-9	-	Fl Hi In	R	904	Im	M0 V	{+3}	(A88+0)	[BC2E]	EB	7	
0603	ADB4765-B	ADB4765-B	-	Fl	-	004	Im	M0 V	{+2}	(E66+2)	[895C]	B	7	
0612	C200574-9	C200574-9	S	Va Ni	-	600	Im	F0 V K5 V	{-1}	(A42+3)	[3417]	B	5	
0614	A662869-B	A662869-B	N	Ph Ri	-	313	Im	A0 V	{+3}	(97B-4)	[6B77]	eCB	10	
0621	A111686-D	A111686-D	-	Ic Ni Na	-	204	Im	w D	{+1}	(D55-3)	[874C]	B	4	
0628	B200640-D	B200640-D	-	Va Ni Na	-	004	Im	M5 V	{+1}	(A53-4)	[271F]	B	6	
0630	A300684-E	A300684-E	N	Va Ni Na	-	102	Im	K0 V	{+1}	(B54-4)	[775E]	B	8	
0637	C000568-A	C000568-A	-	As Va Ni	-	313	Im	w D	{+0}	(F42-1)	[5578]	B	4	
0703	B7A4666-8	B7A4666-8	S	Fl Ni Px	-	314	Im	K0 V	{-1}	(F55+1)	[9547]	B	8	
0708	D5A3122-3	D5A3122-3	-	Fl Lo	-	504	Im	K5 V	{-3}	(701+1)	[1161]	B	8	
0710	D686320-4	D686320-4	S	Ga Lo	-	513	Im	K0 V	{-3}	(821+1)	[2132]	B	8	
0712	E7A1210-4	E7A1210-4	-	Fl He Lo	-	406	Im	K5 V	{-3}	(A11-1)	[6175]	B	8	
0719	B7559BB-A	B7559BB-A	-	Ga Hi	R	704	Im	M0 V	{+3}	(A8B+0)	[8C37]	EB	7	
0720	B000674-E	B000674-E	S	As Va Ni Na	-	513	Im	w D	{+1}	(B53-3)	[675E]	B	4	
0726	C674458-5	C674458-5	-	Ni Pa	-	405	Im	M5 V	{-2}	(530-1)	[52A4]	cB	7	
